Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Nissan Teana,Nissan,2011,"1,21,366 km",Petrol,Auto,"EMI ₹14,554/m*",₹2.28 lakh
Toyota Corolla Altis,Toyota,2008,"84,287 km",Petrol,Auto,"EMI ₹14,554/m*",₹2.45 lakh
Skoda Superb,Skoda,2016,"1,60,407 km",Petrol,Auto,"EMI ₹14,459/m*",₹6.50 lakh
Honda City,Honda,2015,"96,339 km",Petrol,Manual,"EMI ₹9,875/m*",₹3.75 lakh
Jeep Compass,Jeep,2018,"87,300 km",Diesel,Manual,"EMI ₹17,131/m*",₹9.00 lakh
Honda Amaze,Honda,2015,"1,20,060 km",Petrol,Manual,"EMI ₹9,033/m*",₹3.43 lakh
Renault Kwid,Renault,2016,"39,471 km",Petrol,Manual,"EMI ₹5,672/m*",₹2.55 lakh
Hyundai Creta,Hyundai,2021,"39,268 km",Petrol,Auto,"EMI ₹23,543/m*",₹13.75 lakh
Ford Figo,Ford,2011,"70,624 km",Diesel,Manual,"EMI ₹23,543/m*",₹1.50 lakh
Maruti Celerio,Maruti,2015,"77,179 km",Petrol,Auto,"EMI ₹8,058/m*",₹3.06 lakh
Maruti Swift,Maruti,2018,"75,409 km",Petrol,Manual,"EMI ₹7,944/m*",₹4.50 lakh
Tata NEXON,Tata,2018,"51,806 km",Petrol,Manual,"EMI ₹10,062/m*",₹5.70 lakh
Maruti Baleno,Maruti,2020,"89,892 km",Petrol,Manual,"EMI ₹10,274/m*",₹5.82 lakh
Ford Ecosport,Ford,2014,"97,097 km",Petrol,Auto,"EMI ₹12,156/m*",₹3.66 lakh
Fiat Linea,Fiat,2013,"1,01,325 km",Petrol,Manual,"EMI ₹9,885/m*",₹2.10 lakh
Maruti A Star,Maruti,2012,"75,000 km",Petrol,Manual,"EMI ₹14,428/m*",₹1.62 lakh
Hyundai Verna,Hyundai,2015,"67,268 km",Petrol,Manual,"EMI ₹11,850/m*",₹4.50 lakh
Hyundai Elite i20,Hyundai,2015,"1,55,948 km",Diesel,Manual,"EMI ₹15,710/m*",₹4.73 lakh
Skoda Fabia,Skoda,2010,"1,03,128 km",Petrol,Manual,"EMI ₹15,710/m*",₹1.36 lakh
Maruti Swift,Maruti,2020,"31,809 km",Petrol,Manual,"EMI ₹11,739/m*",₹6.65 lakh
Renault Kwid,Renault,2016,"45,333 km",Petrol,Manual,"EMI ₹5,561/m*",₹2.50 lakh
KIA SELTOS,KIA,2023,"64,144 km",Diesel,Manual,"EMI ₹16,266/m*",₹9.50 lakh
Maruti SX4,Maruti,2012,"1,19,388 km",Diesel,Manual,"EMI ₹16,266/m*",₹1.25 lakh
Volkswagen Vento,Volkswagen,2013,"1,49,000 km",Diesel,Manual,"EMI ₹22,212/m*",₹2.50 lakh
Maruti Swift,Maruti,2012,"56,924 km",Diesel,Manual,"EMI ₹22,212/m*",₹3.38 lakh
Mahindra Thar,Mahindra,2023,"4,237 km",Petrol,Auto,"EMI ₹21,865/m*",₹12.77 lakh
Honda Amaze,Honda,2014,"77,466 km",Diesel,Manual,"EMI ₹15,299/m*",₹3.25 lakh
Tata NEXON,Tata,2018,"57,817 km",Petrol,Manual,"EMI ₹10,744/m*",₹6.09 lakh
Maruti Celerio,Maruti,2016,"71,337 km",Petrol,Auto,"EMI ₹9,676/m*",₹4.35 lakh
Hyundai Elite i20,Hyundai,2020,"17,496 km",Petrol,Manual,"EMI ₹11,315/m*",₹6.41 lakh
Tata Indica EV2,Tata,2012,"2,12,878 km",Diesel,Manual,"EMI ₹11,315/m*",₹1.37 lakh
Ford FREESTYLE,Ford,2018,"35,913 km",Diesel,Manual,"EMI ₹12,082/m*",₹6.18 lakh
Volkswagen Polo,Volkswagen,2011,"24,718 km",Petrol,Manual,"EMI ₹12,082/m*",₹2.62 lakh
Maruti Baleno,Maruti,2016,"57,408 km",Petrol,Auto,"EMI ₹11,411/m*",₹5.13 lakh
Maruti Swift Dzire,Maruti,2012,"1,57,955 km",Diesel,Manual,"EMI ₹11,411/m*",₹2.50 lakh
Hyundai Verna,Hyundai,2012,"63,885 km",Diesel,Manual,"EMI ₹11,411/m*",₹3.49 lakh
Maruti Celerio,Maruti,2018,"96,846 km",Petrol,Auto,"EMI ₹7,767/m*",₹4.40 lakh
Tata TIGOR,Tata,2018,"17,491 km",Petrol,Manual,"EMI ₹6,973/m*",₹3.95 lakh
Hyundai Elite i20,Hyundai,2015,"95,500 km",Petrol,Manual,"EMI ₹9,217/m*",₹3.50 lakh
Maruti Wagon R 1.0,Maruti,2018,"64,687 km",Petrol,Auto,"EMI ₹7,767/m*",₹4.40 lakh
Maruti Swift,Maruti,2018,"1,21,289 km",Diesel,Auto,"EMI ₹12,902/m*",₹5.80 lakh
Maruti Swift,Maruti,2018,"73,739 km",Petrol,Auto,"EMI ₹11,245/m*",₹6.37 lakh
Nissan Sunny,Nissan,2013,"1,19,127 km",Petrol,Manual,"EMI ₹10,356/m*",₹2.20 lakh
Honda City,Honda,2014,"1,07,276 km",Petrol,Manual,"EMI ₹11,426/m*",₹3.44 lakh
CITROEN C3,CITROEN,2023,"14,322 km",Petrol,Manual,"EMI ₹10,062/m*",₹5.70 lakh
Maruti Alto 800,Maruti,2012,"20,554 km",Petrol,Manual,"EMI ₹19,369/m*",₹2.18 lakh
Toyota Fortuner,Toyota,2012,"1,55,203 km",Diesel,Auto,"EMI ₹19,369/m*",₹8.66 lakh
Renault Kwid,Renault,2017,"69,239 km",Petrol,Auto,"EMI ₹6,041/m*",₹3.09 lakh
