Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Ford Ecosport,Ford,2020,"48,073 km",Petrol,Auto,"EMI ₹11,739/m*",₹6.65 lakh
Maruti FRONX,Maruti,2024,"24,849 km",Petrol,Manual,"EMI ₹14,105/m*",₹7.99 lakh
Honda Amaze,Honda,2023,"40,416 km",Petrol,Manual,"EMI ₹11,192/m*",₹6.34 lakh
Skoda Rapid,Skoda,2020,"93,148 km",Petrol,Auto,"EMI ₹9,250/m*",₹5.24 lakh
Hyundai VENUE,Hyundai,2021,"57,326 km",Petrol,Manual,"EMI ₹11,781/m*",₹6.67 lakh
MG HECTOR,MG,2020,"78,178 km",Petrol,Auto,"EMI ₹18,503/m*",₹10.81 lakh
Hyundai Grand i10,Hyundai,2015,"95,057 km",Petrol,Manual,"EMI ₹7,637/m*",₹2.90 lakh
Renault Kwid,Renault,2019,"29,568 km",Petrol,Auto,"EMI ₹5,119/m*",₹2.90 lakh
Honda City,Honda,2014,"59,486 km",Petrol,Auto,"EMI ₹14,907/m*",₹4.49 lakh
Maruti Alto 800,Maruti,2014,"37,894 km",Petrol,Manual,"EMI ₹6,743/m*",₹2.03 lakh
Tata Tiago,Tata,2018,"39,282 km",Petrol,Auto,"EMI ₹6,973/m*",₹3.95 lakh
Honda Amaze,Honda,2018,"65,604 km",Diesel,Manual,"EMI ₹9,931/m*",₹5.08 lakh
Tata ALTROZ,Tata,2023,"19,122 km",Petrol,Auto,"EMI ₹11,474/m*",₹6.50 lakh
Volkswagen Polo,Volkswagen,2013,"79,582 km",Petrol,Manual,"EMI ₹13,181/m*",₹2.80 lakh
Volkswagen Polo,Volkswagen,2020,"1,18,306 km",Petrol,Auto,"EMI ₹12,949/m*",₹5.82 lakh
Tata ALTROZ,Tata,2022,"31,146 km",Petrol,Manual,"EMI ₹10,062/m*",₹5.70 lakh
Skoda Rapid,Skoda,2017,"1,26,243 km",Petrol,Manual,"EMI ₹8,898/m*",₹4.00 lakh
Maruti Alto 800,Maruti,2014,"43,217 km",Petrol,Manual,"EMI ₹6,809/m*",₹2.05 lakh
Volkswagen Vento,Volkswagen,2015,"1,04,054 km",Diesel,Manual,"EMI ₹12,455/m*",₹3.75 lakh
Tata TIGOR,Tata,2022,"12,133 km",CNG,Manual,"EMI ₹10,856/m*",₹6.15 lakh
Honda City,Honda,2017,"36,457 km",Petrol,Manual,"EMI ₹12,564/m*",₹6.43 lakh
Tata NEXON,Tata,2020,"94,220 km",Diesel,Manual,"EMI ₹10,415/m*",₹5.90 lakh
Hyundai GRAND I10 NIOS,Hyundai,2022,"32,832 km",Petrol,Manual,"EMI ₹9,074/m*",₹5.14 lakh
Maruti Celerio,Maruti,2017,"1,02,937 km",Petrol,Manual,"EMI ₹6,317/m*",₹2.84 lakh
Hyundai NEW SANTRO,Hyundai,2018,"44,753 km",Petrol,Manual,"EMI ₹6,020/m*",₹3.41 lakh
Maruti Swift Dzire,Maruti,2016,"37,575 km",Petrol,Manual,"EMI ₹10,647/m*",₹4.79 lakh
Tata PUNCH,Tata,2024,"27,354 km",Petrol,Manual,"EMI ₹12,888/m*",₹7.30 lakh
Maruti Alto K10,Maruti,2025,"7,833 km",Petrol,Auto,"EMI ₹9,016/m*",₹5.11 lakh
Maruti S Cross,Maruti,2021,"90,927 km",Petrol,Manual,"EMI ₹10,909/m*",₹6.18 lakh
Hyundai Elite i20,Hyundai,2019,"33,108 km",Petrol,Auto,"EMI ₹11,249/m*",₹6.37 lakh
Maruti Baleno,Maruti,2021,"37,741 km",Petrol,Manual,"EMI ₹11,474/m*",₹6.50 lakh
Hyundai i10,Hyundai,2013,"32,147 km",Petrol,Manual,"EMI ₹12,616/m*",₹2.68 lakh
Honda City,Honda,2014,"46,662 km",Petrol,Auto,"EMI ₹13,751/m*",₹4.14 lakh
Skoda SLAVIA,Skoda,2023,"52,161 km",Petrol,Manual,"EMI ₹21,886/m*",₹12.78 lakh
Maruti Wagon R 1.0,Maruti,2017,"35,930 km",Petrol,Manual,"EMI ₹6,745/m*",₹3.45 lakh
Maruti Celerio,Maruti,2015,"1,03,178 km",Petrol,Manual,"EMI ₹7,215/m*",₹2.74 lakh
KIA SONET,KIA,2020,"74,360 km",Petrol,Manual,"EMI ₹11,121/m*",₹6.30 lakh
Honda City,Honda,2015,"1,04,537 km",Petrol,Manual,"EMI ₹11,771/m*",₹4.47 lakh
Hyundai NEW SANTRO,Hyundai,2019,"55,958 km",Petrol,Auto,"EMI ₹6,262/m*",₹3.55 lakh
Hyundai Grand i10,Hyundai,2017,"80,082 km",Petrol,Auto,"EMI ₹6,569/m*",₹3.36 lakh
Hyundai NEW SANTRO,Hyundai,2019,"25,626 km",Petrol,Manual,"EMI ₹7,324/m*",₹4.15 lakh
Hyundai i10,Hyundai,2016,"63,253 km",Petrol,Manual,"EMI ₹6,184/m*",₹2.78 lakh
Hyundai NEW SANTRO,Hyundai,2019,"37,027 km",Petrol,Auto,"EMI ₹6,832/m*",₹3.87 lakh
Maruti Celerio,Maruti,2016,"88,368 km",Petrol,Auto,"EMI ₹6,295/m*",₹2.83 lakh
Tata NEXON,Tata,2022,"17,364 km",Petrol,Auto,"EMI ₹12,975/m*",₹7.35 lakh
Maruti Swift,Maruti,2016,"57,190 km",Petrol,Manual,"EMI ₹8,942/m*",₹4.02 lakh
Tata NEXON,Tata,2018,"41,732 km",Petrol,Manual,"EMI ₹10,380/m*",₹5.88 lakh
Tata NEXON,Tata,2021,"48,804 km",Petrol,Manual,"EMI ₹10,680/m*",₹6.05 lakh
Hyundai Elite i20,Hyundai,2018,"45,795 km",Petrol,Auto,"EMI ₹8,438/m*",₹4.78 lakh
Ford Ecosport,Ford,2021,"21,168 km",Petrol,Manual,"EMI ₹13,063/m*",₹7.40 lakh
Hyundai Creta,Hyundai,2018,"1,10,316 km",Petrol,Manual,"EMI ₹13,502/m*",₹6.07 lakh
Maruti Alto 800,Maruti,2016,"92,232 km",Petrol,Manual,"EMI ₹5,116/m*",₹2.30 lakh
Maruti Baleno,Maruti,2016,"1,04,538 km",Petrol,Manual,"EMI ₹9,535/m*",₹4.29 lakh
Maruti Alto K10,Maruti,2015,"72,522 km",Petrol,Manual,"EMI ₹6,267/m*",₹2.38 lakh
Hyundai VENUE,Hyundai,2021,"1,05,889 km",Diesel,Manual,"EMI ₹15,438/m*",₹6.94 lakh
Ford Ecosport,Ford,2017,"38,082 km",Petrol,Manual,"EMI ₹8,743/m*",₹4.47 lakh
Honda Amaze,Honda,2019,"69,546 km",Petrol,Auto,"EMI ₹9,541/m*",₹5.40 lakh
Honda Jazz,Honda,2016,"48,081 km",Petrol,Auto,"EMI ₹9,559/m*",₹4.30 lakh
Maruti Dzire,Maruti,2022,"49,916 km",Petrol,Auto,"EMI ₹11,071/m*",₹6.27 lakh
Hyundai NEW SANTRO,Hyundai,2021,"75,804 km",Petrol,Auto,"EMI ₹7,869/m*",₹4.46 lakh
Skoda SLAVIA,Skoda,2022,"20,638 km",Petrol,Auto,"EMI ₹19,759/m*",₹11.54 lakh
Tata PUNCH,Tata,2024,"39,304 km",CNG,Manual,"EMI ₹13,416/m*",₹7.60 lakh
Hyundai Creta,Hyundai,2021,"99,395 km",Diesel,Manual,"EMI ₹15,534/m*",₹9.07 lakh
Hyundai Elite i20,Hyundai,2018,"63,188 km",Petrol,Auto,"EMI ₹10,609/m*",₹6.01 lakh
Honda Amaze,Honda,2015,"82,922 km",Petrol,Manual,"EMI ₹9,087/m*",₹3.45 lakh
Maruti Dzire,Maruti,2018,"54,399 km",Petrol,Auto,"EMI ₹9,797/m*",₹5.55 lakh
Mahindra XUV500,Mahindra,2018,"1,00,421 km",Diesel,Auto,"EMI ₹23,569/m*",₹10.84 lakh
Maruti Dzire,Maruti,2017,"57,776 km",Petrol,Auto,"EMI ₹9,716/m*",₹4.97 lakh
KIA SONET,KIA,2024,"33,565 km",Petrol,Manual,"EMI ₹16,352/m*",₹9.55 lakh
Hyundai VENUE,Hyundai,2023,"75,498 km",Petrol,Manual,"EMI ₹13,297/m*",₹7.53 lakh
Honda Amaze,Honda,2016,"86,111 km",Petrol,Auto,"EMI ₹9,034/m*",₹4.06 lakh
Hyundai Grand i10,Hyundai,2017,"79,381 km",Petrol,Manual,"EMI ₹6,946/m*",₹3.55 lakh
Hyundai Grand i10,Hyundai,2016,"1,44,697 km",Petrol,Auto,"EMI ₹7,341/m*",₹3.30 lakh
Honda Amaze,Honda,2015,"67,991 km",Petrol,Manual,"EMI ₹9,264/m*",₹3.52 lakh
Hyundai VENUE,Hyundai,2019,"71,061 km",Petrol,Auto,"EMI ₹11,104/m*",₹6.29 lakh
Maruti Baleno,Maruti,2017,"85,800 km",Petrol,Auto,"EMI ₹9,873/m*",₹5.05 lakh
Honda Jazz,Honda,2016,"63,777 km",Petrol,Auto,"EMI ₹9,209/m*",₹4.14 lakh
Maruti Celerio,Maruti,2017,"49,319 km",Petrol,Auto,"EMI ₹7,686/m*",₹3.93 lakh
Nissan MAGNITE,Nissan,2022,"41,962 km",Petrol,Auto,"EMI ₹11,298/m*",₹6.40 lakh
Hyundai Grand i10,Hyundai,2019,"27,503 km",Petrol,Manual,"EMI ₹8,175/m*",₹4.63 lakh
Hyundai Grand i10,Hyundai,2016,"70,797 km",Petrol,Manual,"EMI ₹7,674/m*",₹3.45 lakh
Volkswagen Ameo,Volkswagen,2019,"1,11,009 km",Diesel,Auto,"EMI ₹10,433/m*",₹4.69 lakh
Hyundai GRAND I10 NIOS,Hyundai,2021,"30,009 km",Diesel,Manual,"EMI ₹10,115/m*",₹5.73 lakh
Maruti IGNIS,Maruti,2021,"1,12,107 km",Petrol,Manual,"EMI ₹9,231/m*",₹4.15 lakh
Hyundai Grand i10,Hyundai,2016,"87,759 km",Petrol,Auto,"EMI ₹7,852/m*",₹3.53 lakh
Tata NEXON,Tata,2021,"92,325 km",Diesel,Manual,"EMI ₹11,139/m*",₹6.31 lakh
Maruti Wagon R 1.0,Maruti,2014,"88,365 km",Petrol,Manual,"EMI ₹9,862/m*",₹2.97 lakh
Hyundai Elite i20,Hyundai,2016,"1,15,037 km",Petrol,Manual,"EMI ₹9,305/m*",₹4.18 lakh
Ford Ecosport,Ford,2014,"1,17,219 km",Diesel,Manual,"EMI ₹16,099/m*",₹3.42 lakh
Tata ALTROZ,Tata,2021,"61,416 km",Petrol,Manual,"EMI ₹10,239/m*",₹5.80 lakh
Mahindra XUV300,Mahindra,2024,"17,821 km",Petrol,Auto,"EMI ₹15,902/m*",₹9.29 lakh
Honda Jazz,Honda,2017,"57,503 km",Petrol,Auto,"EMI ₹8,993/m*",₹4.60 lakh
Hyundai NEW SANTRO,Hyundai,2021,"71,159 km",Petrol,Auto,"EMI ₹7,679/m*",₹4.35 lakh
Ford Ecosport,Ford,2018,"1,01,670 km",Petrol,Auto,"EMI ₹11,701/m*",₹5.26 lakh
Hyundai Elite i20,Hyundai,2015,"52,439 km",Petrol,Manual,"EMI ₹12,416/m*",₹4.71 lakh
Hyundai Creta,Hyundai,2019,"35,320 km",Petrol,Manual,"EMI ₹14,862/m*",₹8.68 lakh
Honda Jazz,Honda,2016,"42,478 km",Petrol,Auto,"EMI ₹9,788/m*",₹4.40 lakh
Tata NEXON,Tata,2019,"1,43,731 km",Diesel,Auto,"EMI ₹11,678/m*",₹5.25 lakh
Hyundai Grand i10,Hyundai,2016,"62,887 km",Petrol,Auto,"EMI ₹8,186/m*",₹3.68 lakh
Hyundai NEW SANTRO,Hyundai,2019,"71,718 km",Petrol,Auto,"EMI ₹7,043/m*",₹3.99 lakh
Hyundai Creta,Hyundai,2018,"83,121 km",Petrol,Auto,"EMI ₹12,484/m*",₹7.07 lakh
Hyundai VENUE,Hyundai,2021,"49,149 km",Petrol,Manual,"EMI ₹13,257/m*",₹7.51 lakh
Honda Amaze,Honda,2019,"70,075 km",Diesel,Manual,"EMI ₹9,938/m*",₹5.63 lakh
Hyundai Grand i10,Hyundai,2019,"43,697 km",Petrol,Manual,"EMI ₹7,830/m*",₹4.44 lakh
Honda Amaze,Honda,2017,"69,570 km",Petrol,Auto,"EMI ₹8,016/m*",₹4.10 lakh
Tata Safari,Tata,2022,"46,235 km",Diesel,Manual,"EMI ₹28,121/m*",₹16.42 lakh
Maruti Swift,Maruti,2015,"31,878 km",Diesel,Manual,"EMI ₹17,332/m*",₹5.22 lakh
Renault TRIBER,Renault,2023,"63,792 km",Petrol,Auto,"EMI ₹10,563/m*",₹5.98 lakh
Maruti Celerio,Maruti,2020,"19,587 km",Petrol,Manual,"EMI ₹8,010/m*",₹4.54 lakh
Maruti Celerio,Maruti,2015,"38,237 km",Petrol,Auto,"EMI ₹8,702/m*",₹3.30 lakh
KIA SONET,KIA,2021,"55,683 km",Petrol,Manual,"EMI ₹13,121/m*",₹7.43 lakh
Maruti Swift,Maruti,2013,"71,908 km",Petrol,Manual,"EMI ₹17,499/m*",₹3.72 lakh
Hyundai NEW I20 N LINE,Hyundai,2022,"38,034 km",Petrol,Auto,"EMI ₹13,924/m*",₹8.13 lakh
Hyundai i10,Hyundai,2013,"88,677 km",Petrol,Manual,"EMI ₹13,369/m*",₹2.84 lakh
Maruti Wagon R 1.0,Maruti,2013,"45,944 km",Petrol,Manual,"EMI ₹13,228/m*",₹2.81 lakh
Hyundai Verna,Hyundai,2014,"1,19,181 km",Petrol,Manual,"EMI ₹10,961/m*",₹3.30 lakh
Maruti Swift,Maruti,2012,"2,39,723 km",Diesel,Manual,"EMI ₹10,961/m*",₹3.30 lakh
Volkswagen Polo,Volkswagen,2014,"92,343 km",Petrol,Manual,"EMI ₹14,349/m*",₹4.32 lakh
Maruti Wagon R 1.0,Maruti,2017,"1,00,375 km",Petrol,Manual,"EMI ₹8,230/m*",₹3.70 lakh
Hyundai i20,Hyundai,2012,"1,00,120 km",Petrol,Manual,"EMI ₹23,900/m*",₹2.69 lakh
Maruti Alto K10,Maruti,2023,"7,350 km",Petrol,Manual,"EMI ₹7,679/m*",₹4.35 lakh
Tata Tiago,Tata,2018,"40,063 km",Petrol,Manual,"EMI ₹7,308/m*",₹4.14 lakh
Renault Duster,Renault,2014,"68,811 km",Diesel,Manual,"EMI ₹18,594/m*",₹3.95 lakh
Hyundai Grand i10,Hyundai,2014,"1,05,980 km",Diesel,Manual,"EMI ₹12,427/m*",₹2.64 lakh
Ford Ecosport,Ford,2013,"89,716 km",Diesel,Manual,"EMI ₹32,163/m*",₹3.62 lakh
Maruti Ertiga,Maruti,2021,"5,779 km",Petrol,Manual,"EMI ₹18,800/m*",₹10.98 lakh
Volkswagen Polo,Volkswagen,2013,"47,371 km",Petrol,Manual,"EMI ₹12,380/m*",₹2.63 lakh
Honda WR-V,Honda,2017,"52,199 km",Petrol,Manual,"EMI ₹10,870/m*",₹5.56 lakh
Tata Tiago,Tata,2019,"26,003 km",Petrol,Manual,"EMI ₹7,767/m*",₹4.40 lakh
Tata NEXON,Tata,2019,"15,092 km",Petrol,Auto,"EMI ₹13,716/m*",₹7.77 lakh
Tata TIAGO NRG,Tata,2021,"61,206 km",Petrol,Manual,"EMI ₹8,050/m*",₹4.56 lakh
Hyundai ALCAZAR,Hyundai,2022,"50,527 km",Petrol,Auto,"EMI ₹24,622/m*",₹14.38 lakh
Maruti Ciaz,Maruti,2020,"11,966 km",Petrol,Manual,"EMI ₹13,028/m*",₹7.38 lakh
Renault Kwid,Renault,2018,"23,368 km",Petrol,Manual,"EMI ₹4,501/m*",₹2.55 lakh
Hyundai VENUE,Hyundai,2022,"41,712 km",Petrol,Manual,"EMI ₹11,474/m*",₹6.50 lakh
