Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Renault Kwid,Renault,2016,"60,720 km",Petrol,Manual,"EMI ₹4,026/m*",₹1.81 lakh
Maruti Alto K10,Maruti,2012,"50,667 km",Petrol,Manual,"EMI ₹11,906/m*",₹1.34 lakh
Maruti Swift,Maruti,2013,"1,49,098 km",Diesel,Manual,"EMI ₹20,258/m*",₹2.28 lakh
Mahindra Kuv100,Mahindra,2016,"17,581 km",Diesel,Manual,"EMI ₹6,794/m*",₹2.58 lakh
Maruti Wagon R 1.0,Maruti,2013,"1,40,827 km",Petrol,Manual,"EMI ₹8,426/m*",₹1.79 lakh
Honda City,Honda,2013,"75,426 km",Petrol,Manual,"EMI ₹10,745/m*",₹2.28 lakh
Maruti Alto K10,Maruti,2017,"49,511 km",Petrol,Manual,"EMI ₹4,497/m*",₹2.30 lakh
Hyundai Xcent,Hyundai,2014,"69,262 km",Petrol,Manual,"EMI ₹6,942/m*",₹2.09 lakh
Maruti Swift,Maruti,2013,"65,873 km",Petrol,Manual,"EMI ₹11,533/m*",₹2.45 lakh
Mahindra Scorpio,Mahindra,2014,"2,05,700 km",Diesel,Manual,"EMI ₹12,239/m*",₹2.60 lakh
Hyundai i10,Hyundai,2012,"79,571 km",Petrol,Manual,"EMI ₹9,063/m*",₹1.02 lakh
Ford New Figo,Ford,2017,"1,05,351 km",Petrol,Manual,"EMI ₹4,849/m*",₹2.18 lakh
Maruti Alto 800,Maruti,2013,"24,413 km",Petrol,Manual,"EMI ₹7,908/m*",₹1.68 lakh
MG ASTOR,MG,2021,"25,580 km",Petrol,Auto,"EMI ₹22,088/m*",₹12.90 lakh
Tata Indica Vista,Tata,2012,"38,969 km",Diesel,Manual,"EMI ₹22,088/m*",₹0.65 lakh
KIA SELTOS,KIA,2020,"81,690 km",Diesel,Auto,"EMI ₹17,037/m*",₹9.95 lakh
Mahindra XUV500,Mahindra,2014,"55,321 km",Diesel,Manual,"EMI ₹20,195/m*",₹4.29 lakh
Chevrolet Cruze,Chevrolet,2012,"56,832 km",Diesel,Manual,"EMI ₹20,195/m*",₹1.94 lakh
Tata Tiago,Tata,2024,"51,413 km",Petrol,Manual,"EMI ₹11,298/m*",₹6.40 lakh
Maruti Wagon R 1.0,Maruti,2018,"50,840 km",Petrol,Manual,"EMI ₹4,749/m*",₹2.69 lakh
Maruti Swift Dzire,Maruti,2014,"72,737 km",Diesel,Manual,"EMI ₹13,228/m*",₹2.81 lakh
Maruti Swift Dzire,Maruti,2015,"1,45,550 km",Diesel,Manual,"EMI ₹10,396/m*",₹3.13 lakh
MG HECTOR,MG,2019,"33,035 km",Petrol,Auto,"EMI ₹22,139/m*",₹12.93 lakh
Maruti Dzire,Maruti,2019,"1,58,519 km",Diesel,Manual,"EMI ₹10,989/m*",₹4.94 lakh
Maruti Wagon R 1.0,Maruti,2013,"72,548 km",Petrol,Manual,"EMI ₹9,697/m*",₹2.06 lakh
Tata Indigo ECS,Tata,2015,"99,416 km",Diesel,Manual,"EMI ₹5,148/m*",₹1.55 lakh
Hyundai Grand i10,Hyundai,2016,"72,231 km",Petrol,Manual,"EMI ₹5,606/m*",₹2.52 lakh
Tata TIGOR,Tata,2022,"1,77,000 km",Petrol,Manual,"EMI ₹12,657/m*",₹5.69 lakh
Tata NEXON,Tata,2019,"69,787 km",Petrol,Manual,"EMI ₹10,592/m*",₹6.00 lakh
Maruti Swift,Maruti,2011,"60,834 km",Petrol,Manual,"EMI ₹10,592/m*",₹1.30 lakh
Maruti Alto,Maruti,2011,"15,342 km",Petrol,Manual,"EMI ₹10,592/m*",₹0.94 lakh
Tata NEXON,Tata,2021,"66,274 km",Petrol,Auto,"EMI ₹13,240/m*",₹7.50 lakh
Tata NEXON,Tata,2022,"35,848 km",Petrol,Manual,"EMI ₹16,592/m*",₹9.69 lakh
Toyota Innova Crysta,Toyota,2021,"1,11,502 km",Diesel,Auto,"EMI ₹36,962/m*",₹17.00 lakh
Hyundai GRAND I10 NIOS,Hyundai,2022,"67,745 km",Petrol,Manual,"EMI ₹11,033/m*",₹6.25 lakh
Maruti Wagon R 1.0,Maruti,2011,"72,387 km",Petrol,Manual,"EMI ₹11,033/m*",₹1.36 lakh
Maruti Swift Dzire,Maruti,2016,"1,06,925 km",Petrol,Manual,"EMI ₹8,008/m*",₹3.60 lakh
Chevrolet Spark,Chevrolet,2013,"50,812 km",Petrol,Manual,"EMI ₹4,095/m*",₹0.87 lakh
Datsun Go Plus,Datsun,2016,"42,202 km",Petrol,Manual,"EMI ₹3,804/m*",₹1.71 lakh
Volkswagen Vento,Volkswagen,2012,"1,24,947 km",Diesel,Manual,"EMI ₹3,804/m*",₹1.48 lakh
Maruti Vitara Brezza,Maruti,2016,"85,841 km",Diesel,Manual,"EMI ₹16,538/m*",₹6.28 lakh
Audi A6,Audi,2015,"89,219 km",Diesel,Auto,"EMI ₹32,739/m*",₹10.00 lakh
Hyundai i10,Hyundai,2011,"40,198 km",Petrol,Manual,"EMI ₹32,739/m*",₹1.60 lakh
Toyota Fortuner,Toyota,2015,"68,368 km",Diesel,Auto,"EMI ₹37,158/m*",₹11.35 lakh
Maruti Wagon R 1.0,Maruti,2011,"65,926 km",Petrol,Manual,"EMI ₹37,158/m*",₹1.31 lakh
Maruti New Wagon-R,Maruti,2021,"44,699 km",Petrol,Manual,"EMI ₹9,021/m*",₹5.11 lakh
Hyundai Xcent,Hyundai,2015,"80,402 km",Diesel,Manual,"EMI ₹7,905/m*",₹2.38 lakh
Tata NEXON,Tata,2022,"75,563 km",Petrol,Auto,"EMI ₹14,109/m*",₹8.24 lakh
Maruti Alto K10,Maruti,2010,"53,720 km",Petrol,Manual,"EMI ₹14,109/m*",₹1.19 lakh
Honda City,Honda,2016,"1,55,892 km",Petrol,Manual,"EMI ₹13,525/m*",₹6.08 lakh
Maruti Wagon R 1.0,Maruti,2016,"1,12,357 km",Petrol,Manual,"EMI ₹5,428/m*",₹2.44 lakh
Hyundai i10,Hyundai,2011,"99,580 km",Petrol,Manual,"EMI ₹5,428/m*",₹0.94 lakh
Hyundai Santro Xing,Hyundai,2011,"22,150 km",Petrol,Manual,"EMI ₹5,428/m*",₹1.00 lakh
Maruti Zen Estilo,Maruti,2011,"1,29,698 km",Petrol,Manual,"EMI ₹5,428/m*",₹1.13 lakh
Maruti Swift Dzire,Maruti,2015,"1,88,000 km",Diesel,Manual,"EMI ₹9,234/m*",₹2.78 lakh
Renault Duster,Renault,2015,"73,350 km",Diesel,Manual,"EMI ₹9,134/m*",₹2.75 lakh
Ford Figo,Ford,2011,"81,934 km",Petrol,Manual,"EMI ₹9,134/m*",₹0.75 lakh
Ford Ecosport,Ford,2015,3 km,Diesel,Manual,"EMI ₹10,894/m*",₹3.28 lakh
Tata Tiago,Tata,2016,"1,29,210 km",Petrol,Manual,"EMI ₹5,650/m*",₹2.54 lakh
Maruti Dzire,Maruti,2018,"52,088 km",Petrol,Manual,"EMI ₹9,215/m*",₹5.22 lakh
Maruti IGNIS,Maruti,2018,"26,896 km",Petrol,Manual,"EMI ₹6,090/m*",₹3.45 lakh
Renault Duster,Renault,2014,"1,63,310 km",Diesel,Manual,"EMI ₹14,028/m*",₹2.98 lakh
Hyundai Verna,Hyundai,2018,"68,217 km",Petrol,Manual,"EMI ₹11,704/m*",₹6.63 lakh
Maruti FRONX,Maruti,2025,"5,860 km",Petrol,Manual,"EMI ₹12,233/m*",₹6.93 lakh
Tata TIGOR,Tata,2022,"37,283 km",Petrol,Manual,"EMI ₹9,709/m*",₹5.50 lakh
Hyundai Elite i20,Hyundai,2019,"39,242 km",Petrol,Manual,"EMI ₹7,132/m*",₹4.04 lakh
