Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Maruti Eeco,Maruti,2012,"2,02,686 km",Petrol,Manual,"EMI ₹4,967/m*",₹0.56 lakh
Hyundai Eon,Hyundai,2015,"32,494 km",Petrol,Manual,"EMI ₹4,398/m*",₹1.67 lakh
Hyundai New Elantra,Hyundai,2013,"91,480 km",Diesel,Auto,"EMI ₹20,258/m*",₹2.28 lakh
Maruti Wagon R 1.0,Maruti,2015,"91,043 km",Petrol,Manual,"EMI ₹5,662/m*",₹2.15 lakh
Maruti Alto K10,Maruti,2022,"27,105 km",Petrol,Manual,"EMI ₹5,755/m*",₹3.26 lakh
Maruti Swift Dzire,Maruti,2015,"1,21,198 km",Diesel,Manual,"EMI ₹10,595/m*",₹3.19 lakh
Honda Amaze,Honda,2014,"82,695 km",Diesel,Manual,"EMI ₹8,520/m*",₹1.81 lakh
Hyundai i10,Hyundai,2013,"43,288 km",Petrol,Manual,"EMI ₹6,684/m*",₹1.42 lakh
Mercedes Benz A Class,Mercedes,2015,"90,269 km",Diesel,Auto,"EMI ₹14,515/m*",₹4.37 lakh
Ford Figo,Ford,2012,"82,348 km",Diesel,Manual,"EMI ₹14,515/m*",₹0.83 lakh
Chevrolet Beat,Chevrolet,2012,"86,902 km",Petrol,Manual,"EMI ₹6,664/m*",₹0.75 lakh
Maruti Alto 800,Maruti,2013,"77,746 km",Petrol,Manual,"EMI ₹5,215/m*",₹1.11 lakh
Datsun Go,Datsun,2014,"21,521 km",Petrol,Manual,"EMI ₹3,355/m*",₹1.01 lakh
Hyundai Eon,Hyundai,2011,"64,769 km",Petrol,Manual,"EMI ₹3,355/m*",₹1.06 lakh
Toyota Etios Liva,Toyota,2012,"1,10,472 km",Diesel,Manual,"EMI ₹3,355/m*",₹1.60 lakh
Hyundai Santro Xing,Hyundai,2012,"69,890 km",Petrol,Manual,"EMI ₹8,529/m*",₹0.96 lakh
Maruti New Wagon-R,Maruti,2019,"65,493 km",Petrol,Manual,"EMI ₹6,337/m*",₹3.59 lakh
Tata Harrier,Tata,2022,"46,216 km",Diesel,Manual,"EMI ₹25,461/m*",₹14.87 lakh
Honda Amaze,Honda,2014,"1,48,355 km",Diesel,Manual,"EMI ₹7,908/m*",₹1.68 lakh
Maruti Wagon R 1.0,Maruti,2016,"89,986 km",Petrol,Manual,"EMI ₹4,182/m*",₹1.88 lakh
Maruti Ritz,Maruti,2013,"1,60,283 km",Diesel,Manual,"EMI ₹13,150/m*",₹1.48 lakh
Maruti Wagon R 1.0,Maruti,2015,"33,447 km",Petrol,Manual,"EMI ₹6,083/m*",₹2.31 lakh
Hyundai GRAND I10 NIOS,Hyundai,2021,"50,060 km",Petrol,Manual,"EMI ₹7,379/m*",₹4.18 lakh
Renault Kwid,Renault,2018,"58,144 km",Petrol,Manual,"EMI ₹3,871/m*",₹1.74 lakh
Hyundai i20,Hyundai,2011,"99,404 km",Petrol,Manual,"EMI ₹3,871/m*",₹1.23 lakh
Maruti Dzire,Maruti,2017,"1,08,512 km",Diesel,Manual,"EMI ₹8,210/m*",₹3.69 lakh
Maruti Wagon R 1.0,Maruti,2015,"20,085 km",Petrol,Manual,"EMI ₹6,267/m*",₹2.38 lakh
Maruti Ritz,Maruti,2011,"1,23,456 km",Petrol,Manual,"EMI ₹6,267/m*",₹1.17 lakh
Maruti Dzire,Maruti,2020,"1,16,330 km",Petrol,Manual,"EMI ₹9,031/m*",₹4.06 lakh
Maruti Swift Dzire,Maruti,2015,"88,830 km",Petrol,Manual,"EMI ₹7,479/m*",₹2.84 lakh
Maruti Celerio,Maruti,2014,"80,160 km",Petrol,Manual,"EMI ₹6,444/m*",₹1.94 lakh
Landrover Freelander 2,Landrover,2013,"1,39,022 km",Diesel,Auto,"EMI ₹41,759/m*",₹4.70 lakh
Maruti Swift Dzire,Maruti,2016,"1,55,868 km",Diesel,Manual,"EMI ₹8,875/m*",₹3.37 lakh
Toyota Etios Liva,Toyota,2011,"1,16,930 km",Petrol,Manual,"EMI ₹8,875/m*",₹1.62 lakh
Maruti Swift,Maruti,2020,"1,02,514 km",Petrol,Manual,"EMI ₹9,676/m*",₹4.35 lakh
Maruti Ritz,Maruti,2013,"78,840 km",Diesel,Manual,"EMI ₹14,127/m*",₹1.59 lakh
Maruti Swift,Maruti,2020,"36,770 km",Petrol,Manual,"EMI ₹7,591/m*",₹4.30 lakh
Mahindra Scorpio,Mahindra,2019,"1,37,900 km",Diesel,Manual,"EMI ₹16,928/m*",₹7.61 lakh
Maruti Ciaz,Maruti,2020,"1,22,604 km",Petrol,Manual,"EMI ₹9,454/m*",₹4.25 lakh
Chevrolet Cruze,Chevrolet,2012,"1,25,356 km",Diesel,Auto,"EMI ₹9,454/m*",₹1.65 lakh
Hyundai i10,Hyundai,2011,"87,818 km",Petrol,Manual,"EMI ₹9,454/m*",₹1.01 lakh
