Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Honda Jazz,Honda,2016,"1,27,709 km",Petrol,Manual,"EMI ₹5,517/m*",₹2.48 lakh
Toyota URBAN CRUISER,Toyota,2021,"81,951 km",Petrol,Manual,"EMI ₹10,892/m*",₹6.17 lakh
Renault Kiger,Renault,2022,"65,563 km",Petrol,Auto,"EMI ₹9,195/m*",₹5.21 lakh
Maruti Wagon R 1.0,Maruti,2016,"79,584 km",Petrol,Manual,"EMI ₹4,760/m*",₹2.14 lakh
Hyundai i10,Hyundai,2013,"31,062 km",Petrol,Manual,"EMI ₹7,296/m*",₹1.55 lakh
Skoda Rapid,Skoda,2012,"64,358 km",Diesel,Manual,"EMI ₹7,296/m*",₹2.48 lakh
MG HECTOR PLUS,MG,2022,"22,736 km",Petrol,Manual,"EMI ₹18,835/m*",₹11.00 lakh
Maruti S PRESSO,Maruti,2021,"90,554 km",CNG,Manual,"EMI ₹5,455/m*",₹3.09 lakh
Hyundai Grand i10,Hyundai,2018,"26,465 km",Petrol,Manual,"EMI ₹6,002/m*",₹3.40 lakh
Maruti Alto 800,Maruti,2018,"63,632 km",CNG,Manual,"EMI ₹5,232/m*",₹2.35 lakh
Maruti Swift,Maruti,2020,"24,651 km",Petrol,Auto,"EMI ₹8,844/m*",₹5.01 lakh
Honda City,Honda,2016,"41,770 km",Petrol,Manual,"EMI ₹10,190/m*",₹4.58 lakh
KIA SELTOS,KIA,2022,"98,623 km",Diesel,Auto,"EMI ₹19,348/m*",₹11.30 lakh
Ford New Figo,Ford,2016,"52,830 km",Petrol,Manual,"EMI ₹5,005/m*",₹2.25 lakh
Hyundai New Elantra,Hyundai,2021,"52,079 km",Petrol,Auto,"EMI ₹15,410/m*",₹9.00 lakh
Maruti Alto K10,Maruti,2023,"15,110 km",Petrol,Manual,"EMI ₹6,617/m*",₹3.75 lakh
Maruti Ciaz,Maruti,2017,"57,158 km",Petrol,Auto,"EMI ₹8,798/m*",₹4.50 lakh
Maruti Celerio X,Maruti,2018,"46,076 km",Petrol,Auto,"EMI ₹5,790/m*",₹3.28 lakh
Maruti Wagon R 1.0,Maruti,2018,"97,067 km",CNG,Manual,"EMI ₹6,756/m*",₹3.04 lakh
Ford Ecosport,Ford,2013,"70,238 km",Petrol,Manual,"EMI ₹12,093/m*",₹2.57 lakh
Maruti Ertiga,Maruti,2021,"1,37,334 km",Petrol,Auto,"EMI ₹17,729/m*",₹7.97 lakh
Hyundai Grand i10,Hyundai,2017,"69,552 km",Petrol,Auto,"EMI ₹6,393/m*",₹3.27 lakh
Tata Tiago,Tata,2016,"66,642 km",Petrol,Manual,"EMI ₹6,095/m*",₹2.74 lakh
Hyundai Creta,Hyundai,2017,"71,348 km",Petrol,Manual,"EMI ₹10,870/m*",₹5.56 lakh
Ford Ecosport,Ford,2018,"85,315 km",Diesel,Manual,"EMI ₹9,384/m*",₹4.80 lakh
Hyundai Xcent,Hyundai,2014,"40,290 km",Petrol,Manual,"EMI ₹9,379/m*",₹2.82 lakh
Maruti Wagon R Stingray,Maruti,2014,"55,983 km",Petrol,Manual,"EMI ₹7,872/m*",₹2.37 lakh
KIA SONET,KIA,2021,"53,981 km",Petrol,Manual,"EMI ₹12,025/m*",₹6.81 lakh
Renault Kwid,Renault,2017,"54,483 km",Petrol,Auto,"EMI ₹4,729/m*",₹2.42 lakh
Hyundai Creta,Hyundai,2018,"47,914 km",Petrol,Auto,"EMI ₹12,581/m*",₹7.13 lakh
Hyundai Eon,Hyundai,2018,"50,918 km",Petrol,Manual,"EMI ₹3,636/m*",₹2.06 lakh
MG HECTOR,MG,2019,"58,588 km",Diesel,Manual,"EMI ₹15,170/m*",₹8.86 lakh
Renault Kwid,Renault,2017,"66,414 km",Petrol,Auto,"EMI ₹4,477/m*",₹2.29 lakh
Nissan Micra,Nissan,2016,"47,444 km",Petrol,Auto,"EMI ₹6,052/m*",₹2.72 lakh
Honda Amaze,Honda,2014,"57,485 km",Diesel,Manual,"EMI ₹13,745/m*",₹2.92 lakh
Ford New Figo,Ford,2018,"96,018 km",Petrol,Manual,"EMI ₹4,975/m*",₹2.82 lakh
Maruti Alto K10,Maruti,2017,"20,628 km",Petrol,Manual,"EMI ₹4,403/m*",₹2.25 lakh
Maruti Swift Dzire,Maruti,2016,"60,016 km",Petrol,Manual,"EMI ₹7,563/m*",₹3.40 lakh
Tata Tiago,Tata,2016,"73,887 km",Petrol,Manual,"EMI ₹6,098/m*",₹2.74 lakh
Hyundai i10,Hyundai,2014,"20,612 km",Petrol,Manual,"EMI ₹7,606/m*",₹2.29 lakh
Hyundai GRAND I10 NIOS,Hyundai,2022,"49,692 km",CNG,Manual,"EMI ₹9,853/m*",₹5.58 lakh
Honda Jazz,Honda,2018,"60,048 km",Petrol,Auto,"EMI ₹6,644/m*",₹3.76 lakh
Maruti Vitara Brezza,Maruti,2020,"57,310 km",Petrol,Manual,"EMI ₹11,805/m*",₹6.69 lakh
Tata Tiago,Tata,2018,"35,391 km",Petrol,Manual,"EMI ₹6,213/m*",₹3.52 lakh
Maruti Grand Vitara,Maruti,2023,"43,241 km",Petrol,Manual,"EMI ₹18,559/m*",₹10.84 lakh
Hyundai GRAND I10 NIOS,Hyundai,2021,"72,467 km",Petrol,Auto,"EMI ₹8,779/m*",₹4.97 lakh
Hyundai i10,Hyundai,2013,"60,028 km",CNG,Manual,"EMI ₹8,779/m*",₹2.19 lakh
Honda Amaze,Honda,2014,"99,082 km",Petrol,Manual,"EMI ₹7,908/m*",₹2.38 lakh
Maruti Wagon R 1.0,Maruti,2014,"40,150 km",CNG,Manual,"EMI ₹20,206/m*",₹2.27 lakh
Hyundai VENUE,Hyundai,2021,"39,323 km",Petrol,Manual,"EMI ₹13,416/m*",₹7.60 lakh
Tata ALTROZ,Tata,2021,"23,470 km",Petrol,Manual,"EMI ₹9,753/m*",₹5.52 lakh
Hyundai Eon,Hyundai,2014,"27,630 km",Petrol,Manual,"EMI ₹5,148/m*",₹1.55 lakh
Maruti Baleno,Maruti,2017,"1,26,984 km",Diesel,Manual,"EMI ₹10,633/m*",₹4.78 lakh
Volkswagen TAIGUN,Volkswagen,2022,"55,400 km",Petrol,Auto,"EMI ₹16,369/m*",₹9.56 lakh
Honda Brio,Honda,2015,"34,079 km",Petrol,Manual,"EMI ₹6,183/m*",₹2.35 lakh
Hyundai Grand i10,Hyundai,2014,"79,889 km",Petrol,Manual,"EMI ₹8,101/m*",₹2.44 lakh
Honda City,Honda,2019,"1,17,449 km",Petrol,Manual,"EMI ₹12,291/m*",₹5.53 lakh
Renault Kiger,Renault,2021,"63,106 km",Petrol,Manual,"EMI ₹8,909/m*",₹5.05 lakh
Maruti Ertiga,Maruti,2014,"69,208 km",Petrol,Manual,"EMI ₹14,349/m*",₹4.32 lakh
Hyundai EXTER,Hyundai,2025,"6,674 km",Petrol,Auto,"EMI ₹13,993/m*",₹8.17 lakh
Honda Jazz,Honda,2019,"22,299 km",Petrol,Auto,"EMI ₹9,253/m*",₹5.24 lakh
