Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Ford FREESTYLE,Ford,2019,"92,867 km",Petrol,Manual,"EMI ₹6,902/m*",₹3.91 lakh
Datsun Redi Go,Datsun,2019,"15,962 km",Petrol,Auto,"EMI ₹3,760/m*",₹2.13 lakh
Hyundai Verna,Hyundai,2016,"98,255 km",Petrol,Manual,"EMI ₹10,499/m*",₹4.72 lakh
Tata TIAGO NRG,Tata,2021,"20,063 km",Petrol,Manual,"EMI ₹8,090/m*",₹4.58 lakh
Renault Kwid,Renault,2018,"40,536 km",Petrol,Manual,"EMI ₹4,501/m*",₹2.55 lakh
Honda Amaze,Honda,2015,"55,169 km",Petrol,Manual,"EMI ₹7,189/m*",₹2.73 lakh
Hyundai Creta,Hyundai,2017,"40,310 km",Petrol,Manual,"EMI ₹12,610/m*",₹6.45 lakh
Maruti Alto K10,Maruti,2016,"72,853 km",Petrol,Auto,"EMI ₹5,917/m*",₹2.66 lakh
Honda Jazz,Honda,2017,"1,24,203 km",Petrol,Manual,"EMI ₹9,276/m*",₹4.17 lakh
Honda Amaze,Honda,2015,"45,099 km",Petrol,Manual,"EMI ₹8,822/m*",₹3.35 lakh
Maruti Swift,Maruti,2015,"1,19,459 km",Petrol,Manual,"EMI ₹9,928/m*",₹3.77 lakh
Renault Kwid,Renault,2018,"61,303 km",Petrol,Manual,"EMI ₹4,360/m*",₹2.47 lakh
Honda City,Honda,2016,"78,233 km",Petrol,Manual,"EMI ₹10,210/m*",₹4.59 lakh
Hyundai i20,Hyundai,2012,"44,196 km",Diesel,Manual,"EMI ₹10,210/m*",₹2.99 lakh
Maruti Celerio,Maruti,2015,"54,933 km",Petrol,Auto,"EMI ₹7,734/m*",₹2.94 lakh
Hyundai Grand i10,Hyundai,2013,"75,139 km",Petrol,Manual,"EMI ₹12,192/m*",₹2.59 lakh
Hyundai i20,Hyundai,2012,"99,234 km",Petrol,Auto,"EMI ₹26,299/m*",₹2.96 lakh
Honda Brio,Honda,2013,"79,070 km",Petrol,Manual,"EMI ₹11,721/m*",₹2.49 lakh
Maruti Celerio,Maruti,2016,"60,116 km",Petrol,Manual,"EMI ₹6,451/m*",₹2.90 lakh
Honda Jazz,Honda,2015,"1,20,297 km",Petrol,Manual,"EMI ₹9,471/m*",₹3.60 lakh
Hyundai Xcent,Hyundai,2014,"94,095 km",Petrol,Manual,"EMI ₹7,573/m*",₹2.28 lakh
Nissan Micra Active,Nissan,2013,"1,36,687 km",Petrol,Manual,"EMI ₹7,532/m*",₹1.60 lakh
Hyundai NEW SANTRO,Hyundai,2018,"94,399 km",Petrol,Manual,"EMI ₹4,855/m*",₹2.75 lakh
Hyundai Eon,Hyundai,2017,"14,800 km",Petrol,Manual,"EMI ₹4,564/m*",₹2.33 lakh
Maruti Alto,Maruti,2019,"69,624 km",Petrol,Manual,"EMI ₹4,501/m*",₹2.55 lakh
Maruti Wagon R 1.0,Maruti,2016,"56,463 km",Petrol,Auto,"EMI ₹8,245/m*",₹3.71 lakh
Hyundai Grand i10,Hyundai,2016,"44,448 km",Petrol,Manual,"EMI ₹6,317/m*",₹2.84 lakh
Hyundai Creta,Hyundai,2016,"92,748 km",Petrol,Auto,"EMI ₹13,887/m*",₹6.24 lakh
Hyundai Xcent,Hyundai,2015,"66,939 km",Petrol,Manual,"EMI ₹7,189/m*",₹2.73 lakh
Maruti Alto 800,Maruti,2018,"47,656 km",Petrol,Manual,"EMI ₹4,565/m*",₹2.59 lakh
Renault Duster,Renault,2014,"76,863 km",Diesel,Manual,"EMI ₹17,935/m*",₹3.81 lakh
Hyundai Elite i20,Hyundai,2015,"68,266 km",Petrol,Manual,"EMI ₹10,376/m*",₹3.94 lakh
Hyundai Verna,Hyundai,2020,"82,278 km",Petrol,Auto,"EMI ₹13,869/m*",₹8.10 lakh
Honda City,Honda,2016,"1,42,290 km",Petrol,Auto,"EMI ₹11,148/m*",₹5.01 lakh
Maruti Celerio,Maruti,2018,"39,143 km",Petrol,Auto,"EMI ₹6,708/m*",₹3.80 lakh
Hyundai Grand i10,Hyundai,2013,"28,268 km",Petrol,Manual,"EMI ₹11,392/m*",₹2.42 lakh
Honda Amaze,Honda,2016,"63,272 km",Petrol,Manual,"EMI ₹7,852/m*",₹3.53 lakh
Renault Kwid,Renault,2019,"47,225 km",Petrol,Manual,"EMI ₹4,297/m*",₹2.43 lakh
Hyundai Elite i20,Hyundai,2015,"1,02,603 km",Diesel,Manual,"EMI ₹14,448/m*",₹4.35 lakh
Mahindra KUV 100 NXT,Mahindra,2018,"17,136 km",CNG,Manual,"EMI ₹6,696/m*",₹3.01 lakh
Renault Kwid,Renault,2019,"44,759 km",Petrol,Manual,"EMI ₹4,378/m*",₹2.48 lakh
Datsun Redi Go,Datsun,2018,"49,683 km",Petrol,Auto,"EMI ₹3,548/m*",₹2.01 lakh
Volkswagen Vento,Volkswagen,2019,"83,459 km",Diesel,Auto,"EMI ₹14,383/m*",₹8.40 lakh
MG HECTOR PLUS,MG,2020,"42,482 km",Petrol,Manual,"EMI ₹17,739/m*",₹10.36 lakh
Nissan Micra,Nissan,2018,"17,225 km",Petrol,Auto,"EMI ₹7,969/m*",₹4.51 lakh
Hyundai i20,Hyundai,2012,"1,28,586 km",Diesel,Manual,"EMI ₹7,969/m*",₹2.25 lakh
Skoda Rapid,Skoda,2017,"1,90,019 km",Diesel,Auto,"EMI ₹10,967/m*",₹4.93 lakh
Maruti Wagon R 1.0,Maruti,2015,"27,163 km",Petrol,Manual,"EMI ₹9,059/m*",₹3.44 lakh
Maruti Alto K10,Maruti,2013,"62,963 km",Petrol,Manual,"EMI ₹9,415/m*",₹2.00 lakh
Renault Kwid,Renault,2016,"39,248 km",Petrol,Manual,"EMI ₹5,072/m*",₹2.28 lakh
Renault Kwid,Renault,2016,"95,485 km",Petrol,Manual,"EMI ₹3,337/m*",₹1.50 lakh
Hyundai Creta,Hyundai,2017,"76,336 km",Diesel,Manual,"EMI ₹11,345/m*",₹5.10 lakh
Volkswagen Polo,Volkswagen,2011,"71,774 km",Petrol,Manual,"EMI ₹11,345/m*",₹1.86 lakh
Hyundai Grand i10,Hyundai,2014,"70,416 km",Petrol,Manual,"EMI ₹7,174/m*",₹2.16 lakh
Hyundai Xcent,Hyundai,2014,"1,07,328 km",Petrol,Manual,"EMI ₹9,632/m*",₹2.90 lakh
Honda City,Honda,2017,"1,95,387 km",Diesel,Manual,"EMI ₹12,212/m*",₹5.49 lakh
Ford Figo,Ford,2011,"60,989 km",Petrol,Manual,"EMI ₹12,212/m*",₹0.98 lakh
Ford Figo,Ford,2012,"1,14,954 km",Diesel,Manual,"EMI ₹12,212/m*",₹1.12 lakh
Maruti Ciaz,Maruti,2015,"35,810 km",Petrol,Manual,"EMI ₹13,694/m*",₹5.20 lakh
Hyundai Eon,Hyundai,2014,"73,729 km",Petrol,Manual,"EMI ₹5,148/m*",₹1.55 lakh
Toyota Etios,Toyota,2012,"2,49,996 km",Diesel,Manual,"EMI ₹5,148/m*",₹2.50 lakh
Ford Figo,Ford,2012,"59,781 km",Petrol,Manual,"EMI ₹12,439/m*",₹1.40 lakh
Renault Kwid,Renault,2018,"59,290 km",Petrol,Auto,"EMI ₹5,437/m*",₹3.08 lakh
Hyundai i20,Hyundai,2012,"64,405 km",Petrol,Auto,"EMI ₹22,745/m*",₹2.56 lakh
Chevrolet Sail UVA,Chevrolet,2013,"40,000 km",Diesel,Manual,"EMI ₹9,151/m*",₹1.03 lakh
Maruti Swift,Maruti,2019,"73,395 km",Petrol,Manual,"EMI ₹7,591/m*",₹4.30 lakh
Tata Tiago,Tata,2016,"1,21,398 km",Petrol,Manual,"EMI ₹5,561/m*",₹2.50 lakh
Nissan MAGNITE,Nissan,2022,"55,862 km",Petrol,Manual,"EMI ₹9,921/m*",₹5.62 lakh
Honda City,Honda,2012,"1,47,979 km",Petrol,Manual,"EMI ₹23,367/m*",₹2.63 lakh
Volkswagen Polo,Volkswagen,2016,"92,006 km",Petrol,Manual,"EMI ₹11,434/m*",₹5.14 lakh
Volkswagen Ameo,Volkswagen,2016,"64,731 km",Petrol,Manual,"EMI ₹8,164/m*",₹3.67 lakh
Honda Amaze,Honda,2015,"1,51,292 km",Petrol,Manual,"EMI ₹8,479/m*",₹3.22 lakh
Tata PUNCH,Tata,2024,"24,619 km",Petrol,Auto,"EMI ₹11,810/m*",₹6.69 lakh
Renault Kiger,Renault,2022,"18,246 km",Petrol,Auto,"EMI ₹10,415/m*",₹5.90 lakh
Jeep Compass,Jeep,2017,"88,121 km",Petrol,Auto,"EMI ₹15,210/m*",₹7.78 lakh
