Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Honda Brio,Honda,2012,"69,842 km",Petrol,Manual,"EMI ₹17,503/m*",₹1.97 lakh
Chevrolet Sail UVA,Chevrolet,2013,"96,335 km",Petrol,Manual,"EMI ₹3,860/m*",₹0.82 lakh
MG HECTOR PLUS,MG,2021,"45,674 km",Diesel,Manual,"EMI ₹25,940/m*",₹15.15 lakh
Hyundai i10,Hyundai,2015,"50,108 km",Petrol,Manual,"EMI ₹6,583/m*",₹2.50 lakh
Hyundai Elite i20,Hyundai,2017,"39,299 km",Petrol,Manual,"EMI ₹8,309/m*",₹4.25 lakh
Chevrolet Spark,Chevrolet,2010,3 km,Petrol,Manual,"EMI ₹8,309/m*",₹0.66 lakh
Maruti Wagon R 1.0,Maruti,2014,"97,726 km",Petrol,Manual,"EMI ₹8,337/m*",₹2.51 lakh
Hyundai Verna,Hyundai,2012,"1,88,719 km",Diesel,Auto,"EMI ₹8,337/m*",₹2.45 lakh
Hyundai Verna,Hyundai,2020,"67,083 km",Diesel,Manual,"EMI ₹13,903/m*",₹8.12 lakh
Ford Figo Aspire,Ford,2017,"1,38,069 km",Diesel,Manual,"EMI ₹6,228/m*",₹2.80 lakh
Volkswagen Vento,Volkswagen,2012,"25,502 km",Diesel,Manual,"EMI ₹6,228/m*",₹1.63 lakh
Hyundai Eon,Hyundai,2012,"52,225 km",Petrol,Manual,"EMI ₹12,883/m*",₹1.45 lakh
Hyundai Elite i20,Hyundai,2017,"58,406 km",Petrol,Manual,"EMI ₹7,976/m*",₹4.08 lakh
MG HECTOR PLUS,MG,2021,"1,29,699 km",Diesel,Manual,"EMI ₹29,352/m*",₹13.50 lakh
Tata Manza,Tata,2010,"2,01,650 km",Diesel,Manual,"EMI ₹29,352/m*",₹0.70 lakh
Nissan Sunny,Nissan,2011,"56,165 km",Petrol,Manual,"EMI ₹29,352/m*",₹1.10 lakh
Renault Lodgy,Renault,2015,"1,37,009 km",Diesel,Manual,"EMI ₹5,979/m*",₹1.80 lakh
Hyundai NEW SANTRO,Hyundai,2018,"70,149 km",Petrol,Auto,"EMI ₹5,561/m*",₹3.15 lakh
Fiat Linea,Fiat,2014,"88,190 km",Petrol,Manual,"EMI ₹5,015/m*",₹1.51 lakh
Maruti Celerio,Maruti,2018,"34,700 km",Petrol,Auto,"EMI ₹5,984/m*",₹3.39 lakh
Mahindra TUV300,Mahindra,2016,"1,07,277 km",Diesel,Auto,"EMI ₹11,192/m*",₹4.25 lakh
Renault Duster,Renault,2012,"1,03,074 km",Diesel,Manual,"EMI ₹11,192/m*",₹2.00 lakh
Maruti FRONX,Maruti,2024,"74,427 km",Petrol,Manual,"EMI ₹12,357/m*",₹7.00 lakh
Hyundai Eon,Hyundai,2015,"25,925 km",Petrol,Manual,"EMI ₹6,004/m*",₹2.28 lakh
Maruti Wagon R 1.0,Maruti,2011,"58,869 km",Petrol,Manual,"EMI ₹6,004/m*",₹1.60 lakh
Honda City,Honda,2018,"60,374 km",Petrol,Manual,"EMI ₹9,886/m*",₹5.60 lakh
Maruti Vitara Brezza,Maruti,2021,"29,932 km",Petrol,Manual,"EMI ₹12,357/m*",₹7.00 lakh
Maruti Swift Dzire,Maruti,2016,"1,20,767 km",Diesel,Manual,"EMI ₹7,584/m*",₹2.88 lakh
Hyundai Creta,Hyundai,2018,"43,136 km",Diesel,Manual,"EMI ₹15,227/m*",₹8.00 lakh
