Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Maruti Dzire,Maruti,2017,"79,828 km",Diesel,Auto,"EMI ₹10,080/m*",₹4.53 lakh
Hyundai Grand i10,Hyundai,2017,"1,04,654 km",Petrol,Manual,"EMI ₹6,920/m*",₹3.11 lakh
Renault Kwid,Renault,2019,"83,945 km",Petrol,Auto,"EMI ₹3,981/m*",₹2.26 lakh
Hyundai NEW SANTRO,Hyundai,2019,"60,682 km",CNG,Manual,"EMI ₹6,098/m*",₹3.12 lakh
Tata ALTROZ,Tata,2021,"1,23,026 km",CNG,Manual,"EMI ₹9,630/m*",₹4.33 lakh
Hyundai Elite i20,Hyundai,2015,"49,278 km",Petrol,Manual,"EMI ₹9,856/m*",₹3.74 lakh
Honda City,Honda,2019,"65,180 km",Petrol,Auto,"EMI ₹11,356/m*",₹6.43 lakh
Honda Brio,Honda,2012,"95,376 km",Petrol,Manual,"EMI ₹16,372/m*",₹1.84 lakh
Renault Duster,Renault,2021,"80,122 km",Petrol,Manual,"EMI ₹7,418/m*",₹4.20 lakh
Datsun Redi Go,Datsun,2017,"33,733 km",Petrol,Manual,"EMI ₹2,663/m*",₹1.36 lakh
Honda Amaze,Honda,2014,"78,637 km",Petrol,Manual,"EMI ₹9,130/m*",₹2.75 lakh
KIA SELTOS,KIA,2020,"1,47,705 km",Diesel,Manual,"EMI ₹18,264/m*",₹8.40 lakh
Maruti New Wagon-R,Maruti,2021,"9,203 km",Petrol,Manual,"EMI ₹7,523/m*",₹4.26 lakh
MG ASTOR,MG,2023,"48,083 km",Petrol,Manual,"EMI ₹11,994/m*",₹6.79 lakh
Hyundai Grand i10,Hyundai,2018,"22,048 km",Petrol,Manual,"EMI ₹6,579/m*",₹3.73 lakh
KIA SELTOS,KIA,2020,"70,565 km",Petrol,Manual,"EMI ₹14,417/m*",₹8.42 lakh
Maruti Swift,Maruti,2017,"88,775 km",Petrol,Manual,"EMI ₹6,406/m*",₹3.28 lakh
Honda Amaze,Honda,2014,"1,28,271 km",Petrol,Manual,"EMI ₹7,605/m*",₹2.29 lakh
Tata NEXON,Tata,2024,"17,029 km",Petrol,Auto,"EMI ₹16,961/m*",₹9.91 lakh
Hyundai GRAND I10 NIOS,Hyundai,2020,"48,835 km",Petrol,Manual,"EMI ₹7,845/m*",₹4.44 lakh
Tata Hexa,Tata,2018,"1,01,248 km",Diesel,Manual,"EMI ₹15,099/m*",₹6.79 lakh
Maruti Alto 800,Maruti,2017,"83,321 km",Petrol,Manual,"EMI ₹3,687/m*",₹1.89 lakh
Volkswagen TAIGUN,Volkswagen,2022,"55,492 km",Petrol,Auto,"EMI ₹16,551/m*",₹9.67 lakh
Hyundai i10,Hyundai,2012,"1,05,771 km",CNG,Manual,"EMI ₹16,551/m*",₹1.58 lakh
Tata Tiago,Tata,2017,"45,332 km",Petrol,Manual,"EMI ₹5,410/m*",₹2.77 lakh
Maruti Baleno,Maruti,2020,"62,577 km",Petrol,Manual,"EMI ₹8,864/m*",₹5.02 lakh
Maruti Alto 800,Maruti,2017,"96,802 km",Petrol,Manual,"EMI ₹3,804/m*",₹1.95 lakh
Skoda Rapid,Skoda,2021,"1,06,339 km",Petrol,Auto,"EMI ₹9,687/m*",₹4.35 lakh
Hyundai Creta,Hyundai,2019,"92,083 km",CNG,Auto,"EMI ₹15,402/m*",₹7.88 lakh
Hyundai Grand i10,Hyundai,2017,"57,995 km",Petrol,Manual,"EMI ₹6,008/m*",₹3.07 lakh
Hyundai Grand i10,Hyundai,2017,"1,36,006 km",Petrol,Manual,"EMI ₹7,228/m*",₹3.25 lakh
Maruti Alto 800,Maruti,2017,"74,892 km",Petrol,Manual,"EMI ₹4,258/m*",₹2.18 lakh
