Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Tata Tiago,Tata,2018,"51,520 km",Petrol,Manual,"EMI ₹6,109/m*",₹3.46 lakh
Maruti Celerio,Maruti,2020,"31,679 km",Petrol,Manual,"EMI ₹5,825/m*",₹3.30 lakh
Hyundai GRAND I10 NIOS,Hyundai,2020,"85,637 km",CNG,Auto,"EMI ₹9,268/m*",₹5.25 lakh
Skoda Rapid,Skoda,2018,"92,251 km",Diesel,Manual,"EMI ₹9,971/m*",₹5.10 lakh
Maruti Wagon R 1.0,Maruti,2018,"48,105 km",Petrol,Auto,"EMI ₹5,649/m*",₹3.20 lakh
Hyundai Elite i20,Hyundai,2017,"91,027 km",Petrol,Manual,"EMI ₹8,016/m*",₹4.10 lakh
Maruti S Cross,Maruti,2020,"11,656 km",Petrol,Manual,"EMI ₹11,500/m*",₹6.51 lakh
Honda WR-V,Honda,2017,"1,46,319 km",Petrol,Manual,"EMI ₹8,125/m*",₹3.65 lakh
Hyundai Elite i20,Hyundai,2017,"61,636 km",Petrol,Manual,"EMI ₹8,700/m*",₹4.45 lakh
Honda City,Honda,2016,"45,716 km",Petrol,Auto,"EMI ₹10,999/m*",₹4.94 lakh
Maruti IGNIS,Maruti,2019,"84,136 km",Petrol,Auto,"EMI ₹7,238/m*",₹4.10 lakh
Volkswagen Polo,Volkswagen,2019,"1,03,074 km",Petrol,Auto,"EMI ₹11,514/m*",₹5.18 lakh
Hyundai Elite i20,Hyundai,2017,"87,263 km",Petrol,Manual,"EMI ₹8,521/m*",₹4.36 lakh
Honda Amaze,Honda,2022,"34,195 km",Petrol,Manual,"EMI ₹10,945/m*",₹6.20 lakh
Mahindra MARAZZO,Mahindra,2019,"69,853 km",Diesel,Manual,"EMI ₹10,768/m*",₹6.10 lakh
Hyundai NEW SANTRO,Hyundai,2021,"28,560 km",Petrol,Manual,"EMI ₹6,885/m*",₹3.90 lakh
Maruti Ciaz,Maruti,2022,"69,755 km",Petrol,Manual,"EMI ₹11,298/m*",₹6.40 lakh
Maruti Alto 800,Maruti,2018,"95,111 km",Petrol,Manual,"EMI ₹4,325/m*",₹2.45 lakh
Honda City,Honda,2018,"69,866 km",Petrol,Manual,"EMI ₹9,974/m*",₹5.65 lakh
Skoda SLAVIA,Skoda,2022,"52,763 km",Petrol,Auto,"EMI ₹15,753/m*",₹9.20 lakh
Hyundai Grand i10,Hyundai,2016,"76,742 km",Petrol,Manual,"EMI ₹8,342/m*",₹3.75 lakh
Honda City,Honda,2020,"91,515 km",Petrol,Auto,"EMI ₹14,122/m*",₹8.00 lakh
Honda City,Honda,2017,"46,585 km",Petrol,Manual,"EMI ₹10,557/m*",₹5.40 lakh
Honda City,Honda,2018,"41,960 km",Petrol,Auto,"EMI ₹10,244/m*",₹5.80 lakh
Hyundai Verna,Hyundai,2016,"85,345 km",Diesel,Manual,"EMI ₹6,583/m*",₹2.50 lakh
Maruti Wagon R 1.0,Maruti,2013,"63,006 km",Petrol,Manual,"EMI ₹8,473/m*",₹1.80 lakh
Maruti Wagon R 1.0,Maruti,2015,"1,21,041 km",Petrol,Manual,"EMI ₹4,003/m*",₹1.52 lakh
Ford New Figo,Ford,2019,"68,920 km",Petrol,Manual,"EMI ₹4,413/m*",₹2.50 lakh
Hyundai Verna,Hyundai,2014,"2,21,652 km",Diesel,Manual,"EMI ₹15,534/m*",₹3.30 lakh
Hyundai Elite i20,Hyundai,2017,"97,839 km",Petrol,Manual,"EMI ₹7,625/m*",₹3.90 lakh
Renault Kwid,Renault,2016,"87,245 km",Petrol,Manual,"EMI ₹2,767/m*",₹1.24 lakh
Maruti New Wagon-R,Maruti,2022,"68,830 km",Petrol,Manual,"EMI ₹8,826/m*",₹5.00 lakh
Maruti Baleno,Maruti,2018,"76,897 km",Petrol,Manual,"EMI ₹7,043/m*",₹3.99 lakh
Maruti Vitara Brezza,Maruti,2019,"1,00,187 km",Diesel,Manual,"EMI ₹11,500/m*",₹5.17 lakh
Maruti Celerio,Maruti,2016,"19,704 km",Petrol,Auto,"EMI ₹7,051/m*",₹3.17 lakh
Maruti Swift Dzire,Maruti,2015,"99,593 km",Petrol,Manual,"EMI ₹6,794/m*",₹2.58 lakh
Mahindra BOLERO NEO,Mahindra,2022,"31,312 km",Diesel,Manual,"EMI ₹13,557/m*",₹7.68 lakh
Hyundai Verna,Hyundai,2014,"1,01,389 km",Diesel,Manual,"EMI ₹10,921/m*",₹2.32 lakh
Maruti Alto,Maruti,2011,"1,80,164 km",Petrol,Manual,"EMI ₹10,921/m*",₹0.74 lakh
Skoda SLAVIA,Skoda,2022,"56,404 km",Petrol,Manual,"EMI ₹14,263/m*",₹8.33 lakh
Hyundai i10,Hyundai,2012,"63,905 km",Petrol,Manual,"EMI ₹12,439/m*",₹1.40 lakh
Hyundai Verna,Hyundai,2012,"1,05,308 km",Diesel,Manual,"EMI ₹12,439/m*",₹2.00 lakh
Maruti Alto K10,Maruti,2012,"73,944 km",Petrol,Manual,"EMI ₹11,550/m*",₹1.30 lakh
Renault Kwid,Renault,2018,"71,592 km",Petrol,Manual,"EMI ₹3,689/m*",₹2.09 lakh
Mahindra XUV500,Mahindra,2014,"86,813 km",Diesel,Manual,"EMI ₹14,452/m*",₹3.07 lakh
Hyundai i10,Hyundai,2012,"56,959 km",Petrol,Manual,"EMI ₹13,594/m*",₹1.53 lakh
Maruti Dzire,Maruti,2017,"1,57,688 km",Diesel,Manual,"EMI ₹8,942/m*",₹4.02 lakh
Volkswagen Ameo,Volkswagen,2018,"88,208 km",Petrol,Manual,"EMI ₹7,079/m*",₹4.01 lakh
Hyundai Eon,Hyundai,2015,"1,21,267 km",Petrol,Manual,"EMI ₹4,529/m*",₹1.72 lakh
Hyundai Verna,Hyundai,2020,"74,644 km",Petrol,Manual,"EMI ₹10,486/m*",₹5.94 lakh
Hyundai Verna,Hyundai,2013,"91,009 km",Diesel,Manual,"EMI ₹21,146/m*",₹2.38 lakh
Maruti Wagon R 1.0,Maruti,2015,"81,211 km",Petrol,Manual,"EMI ₹4,714/m*",₹1.79 lakh
Hyundai i20,Hyundai,2013,"93,507 km",Diesel,Manual,"EMI ₹19,547/m*",₹2.20 lakh
Mahindra XUV500,Mahindra,2012,"2,27,600 km",Diesel,Manual,"EMI ₹19,547/m*",₹2.02 lakh
Honda Amaze,Honda,2019,"59,568 km",Petrol,Manual,"EMI ₹7,061/m*",₹4.00 lakh
Datsun Redi Go,Datsun,2017,"35,579 km",Petrol,Manual,"EMI ₹3,108/m*",₹1.59 lakh
KIA SELTOS,KIA,2020,"35,004 km",Petrol,Manual,"EMI ₹11,969/m*",₹6.78 lakh
Hyundai Eon,Hyundai,2014,"1,02,951 km",Petrol,Manual,"EMI ₹4,982/m*",₹1.50 lakh
Hyundai Eon,Hyundai,2014,"1,27,845 km",Petrol,Manual,"EMI ₹5,314/m*",₹1.60 lakh
Hyundai i10,Hyundai,2013,"60,077 km",Petrol,Manual,"EMI ₹6,826/m*",₹1.45 lakh
Maruti Swift,Maruti,2013,"95,753 km",Petrol,Manual,"EMI ₹13,840/m*",₹2.94 lakh
Nissan Sunny,Nissan,2012,"3,07,369 km",Diesel,Manual,"EMI ₹13,840/m*",₹1.32 lakh
Honda Brio,Honda,2013,"92,620 km",Petrol,Manual,"EMI ₹7,673/m*",₹1.63 lakh
Hyundai Eon,Hyundai,2016,"12,559 km",Petrol,Manual,"EMI ₹4,382/m*",₹1.97 lakh
Maruti Alto 800,Maruti,2015,"37,909 km",Petrol,Manual,"EMI ₹6,083/m*",₹2.31 lakh
Honda Brio,Honda,2012,"67,966 km",Petrol,Manual,"EMI ₹13,949/m*",₹1.57 lakh
Hyundai Eon,Hyundai,2015,"83,789 km",Petrol,Manual,"EMI ₹3,529/m*",₹1.34 lakh
