Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Tata Harrier,Tata,2022,"56,671 km",Diesel,Auto,"EMI ₹23,852/m*",₹13.93 lakh
Hyundai Elite i20,Hyundai,2018,"78,623 km",Petrol,Manual,"EMI ₹6,867/m*",₹3.89 lakh
Mercedes Benz E Class,Mercedes,2012,"51,292 km",Petrol,Auto,"EMI ₹35,184/m*",₹3.96 lakh
Honda Brio,Honda,2014,"36,350 km",Petrol,Manual,"EMI ₹7,407/m*",₹2.23 lakh
Hyundai Eon,Hyundai,2015,"1,23,398 km",Petrol,Manual,"EMI ₹4,213/m*",₹1.60 lakh
Maruti Wagon R 1.0,Maruti,2017,"65,300 km",Petrol,Manual,"EMI ₹4,809/m*",₹2.46 lakh
Hyundai i10,Hyundai,2015,"1,04,444 km",Petrol,Manual,"EMI ₹7,031/m*",₹2.67 lakh
Skoda Fabia,Skoda,2011,"1,35,072 km",Diesel,Manual,"EMI ₹7,031/m*",₹0.77 lakh
Skoda Rapid,Skoda,2013,"1,12,880 km",Diesel,Manual,"EMI ₹14,394/m*",₹1.62 lakh
Toyota Etios,Toyota,2011,"72,737 km",Petrol,Manual,"EMI ₹14,394/m*",₹1.43 lakh
Volkswagen Vento,Volkswagen,2015,"1,20,345 km",Petrol,Auto,"EMI ₹6,662/m*",₹2.53 lakh
Nissan MAGNITE,Nissan,2022,"19,440 km",Petrol,Manual,"EMI ₹9,903/m*",₹5.61 lakh
Volkswagen Vento,Volkswagen,2011,"1,18,201 km",Petrol,Manual,"EMI ₹9,903/m*",₹1.00 lakh
Mahindra Kuv100,Mahindra,2015,"70,063 km",Diesel,Manual,"EMI ₹4,584/m*",₹1.38 lakh
Skoda Rapid,Skoda,2012,"10,489 km",Diesel,Manual,"EMI ₹4,584/m*",₹1.92 lakh
Maruti Wagon R 1.0,Maruti,2012,"54,155 km",Petrol,Manual,"EMI ₹14,038/m*",₹1.58 lakh
Maruti Swift,Maruti,2014,"1,09,066 km",Diesel,Manual,"EMI ₹11,384/m*",₹2.42 lakh
MG ASTOR,MG,2023,"42,302 km",Petrol,Auto,"EMI ₹20,547/m*",₹12.00 lakh
Hyundai Elite i20,Hyundai,2014,"85,115 km",Petrol,Manual,"EMI ₹10,629/m*",₹3.20 lakh
Honda Mobilio,Honda,2014,"1,28,000 km",Diesel,Manual,"EMI ₹14,122/m*",₹3.00 lakh
Tata Indigo ECS,Tata,2016,"2,24,479 km",Diesel,Manual,"EMI ₹3,634/m*",₹1.38 lakh
Maruti Swift Dzire,Maruti,2011,"1,55,000 km",Diesel,Manual,"EMI ₹3,634/m*",₹1.31 lakh
MG HECTOR,MG,2019,"97,572 km",Petrol,Manual,"EMI ₹12,233/m*",₹6.93 lakh
Tata PUNCH,Tata,2024,"11,912 km",Petrol,Manual,"EMI ₹12,551/m*",₹7.11 lakh
Maruti S Cross,Maruti,2018,"97,776 km",Diesel,Manual,"EMI ₹9,462/m*",₹4.84 lakh
Chevrolet Beat,Chevrolet,2016,"1,38,800 km",Petrol,Manual,"EMI ₹3,114/m*",₹1.40 lakh
