Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Maruti Swift Dzire,Maruti,2012,"97,772 km",Petrol,Manual,"EMI ₹19,547/m*",₹2.20 lakh
Mahindra XUV700,Mahindra,2022,"50,475 km",Petrol,Auto,"EMI ₹22,602/m*",₹13.20 lakh
Honda Amaze,Honda,2016,"92,676 km",Diesel,Manual,"EMI ₹8,295/m*",₹3.15 lakh
Honda BR-V,Honda,2018,"69,152 km",Petrol,Manual,"EMI ₹10,454/m*",₹5.92 lakh
Tata NEXON,Tata,2019,"84,643 km",Petrol,Auto,"EMI ₹9,568/m*",₹5.42 lakh
Honda City,Honda,2016,"1,20,087 km",Diesel,Manual,"EMI ₹13,141/m*",₹4.99 lakh
Maruti Swift,Maruti,2019,"53,434 km",Petrol,Manual,"EMI ₹7,846/m*",₹4.44 lakh
Renault Kwid,Renault,2019,"63,437 km",Petrol,Auto,"EMI ₹4,607/m*",₹2.61 lakh
Maruti Vitara Brezza,Maruti,2019,"82,715 km",Diesel,Manual,"EMI ₹13,015/m*",₹7.37 lakh
Nissan MAGNITE,Nissan,2022,"45,514 km",Petrol,Auto,"EMI ₹10,698/m*",₹6.06 lakh
Maruti Alto 800,Maruti,2012,"64,089 km",Petrol,Manual,"EMI ₹12,794/m*",₹1.44 lakh
Volkswagen Vento,Volkswagen,2018,"67,039 km",Petrol,Auto,"EMI ₹10,751/m*",₹6.09 lakh
Maruti Dzire,Maruti,2019,"44,837 km",Diesel,Auto,"EMI ₹9,709/m*",₹5.50 lakh
Toyota Urban Cruiser Taisor,Toyota,2024,"25,618 km",Petrol,Auto,"EMI ₹16,209/m*",₹9.47 lakh
Hyundai Xcent,Hyundai,2015,"1,14,980 km",Petrol,Manual,"EMI ₹9,398/m*",₹3.57 lakh
Honda WR-V,Honda,2018,"67,821 km",Petrol,Manual,"EMI ₹7,591/m*",₹4.30 lakh
Hyundai Elite i20,Hyundai,2017,"94,615 km",Petrol,Manual,"EMI ₹7,941/m*",₹4.06 lakh
Ford FREESTYLE,Ford,2018,"1,11,118 km",Diesel,Manual,"EMI ₹8,920/m*",₹4.01 lakh
Maruti Baleno,Maruti,2018,"89,538 km",Petrol,Manual,"EMI ₹7,242/m*",₹4.10 lakh
Mahindra Scorpio,Mahindra,2021,"24,774 km",Diesel,Manual,"EMI ₹17,573/m*",₹10.26 lakh
Ford FREESTYLE,Ford,2020,"1,14,560 km",Petrol,Manual,"EMI ₹8,475/m*",₹3.81 lakh
Hyundai Elite i20,Hyundai,2015,"55,093 km",Petrol,Manual,"EMI ₹10,718/m*",₹4.07 lakh
Hyundai Grand i10,Hyundai,2018,"31,035 km",Petrol,Manual,"EMI ₹6,955/m*",₹3.94 lakh
Renault Kwid,Renault,2016,"46,196 km",Petrol,Manual,"EMI ₹5,530/m*",₹2.49 lakh
