Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Renault Kiger,Renault,2021,46461,Petrol,Manual,7916,448000,5,Ahmedabad
Datsun Redi Go,Datsun,2016,86474,Petrol,Manual,2593,117000,10,Ahmedabad
Hyundai Verna,Hyundai,2022,67085,Petrol,Manual,15491,905000,4,Ahmedabad
Honda Brio,Honda,2014,67673,Petrol,Manual,6813,204999,12,Ahmedabad
Honda Brio,Honda,2013,87101,Petrol,Manual,9264,197000,13,Ahmedabad
Hyundai Grand i10,Hyundai,2017,69784,Petrol,Manual,6577,336000,9,Ahmedabad
Hyundai Creta,Hyundai,2017,72393,Petrol,Manual,11242,575000,9,Ahmedabad
Maruti Alto 800,Maruti,2018,37240,Petrol,Manual,3659,206999,8,Ahmedabad
Maruti Dzire,Maruti,2017,79828,Diesel,Auto,10080,453000,9,Ahmedabad
Hyundai Grand i10,Hyundai,2017,104654,Petrol,Manual,6920,311000,9,Ahmedabad
Renault Kwid,Renault,2019,83945,Petrol,Auto,3981,225999,7,Ahmedabad
Hyundai NEW SANTRO,Hyundai,2019,60682,CNG,Manual,6098,312000,7,Ahmedabad
Tata ALTROZ,Tata,2021,123026,CNG,Manual,9630,433000,5,Ahmedabad
Hyundai Elite i20,Hyundai,2015,49278,Petrol,Manual,9856,374000,11,Ahmedabad
Honda City,Honda,2019,65180,Petrol,Auto,11356,643000,7,Ahmedabad
Honda Brio,Honda,2012,95376,Petrol,Manual,16372,184000,14,Ahmedabad
Renault Duster,Renault,2021,80122,Petrol,Manual,7418,420000,5,Ahmedabad
Datsun Redi Go,Datsun,2017,33733,Petrol,Manual,2663,136000,9,Ahmedabad
Honda Amaze,Honda,2014,78637,Petrol,Manual,9130,275000,12,Ahmedabad
KIA SELTOS,KIA,2020,147705,Diesel,Manual,18264,840000,6,Ahmedabad
Maruti New Wagon-R,Maruti,2021,9203,Petrol,Manual,7523,426000,5,Ahmedabad
MG ASTOR,MG,2023,48083,Petrol,Manual,11994,679000,3,Ahmedabad
Hyundai Grand i10,Hyundai,2018,22048,Petrol,Manual,6579,373000,8,Ahmedabad
KIA SELTOS,KIA,2020,70565,Petrol,Manual,14417,842000,6,Ahmedabad
Maruti Swift,Maruti,2017,88775,Petrol,Manual,6406,328000,9,Ahmedabad
