Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Nissan MAGNITE,Nissan,2022,55862,Petrol,Manual,9921,562000,4,Kochi
Honda City,Honda,2012,147979,Petrol,Manual,23367,263000,14,Kochi
Volkswagen Polo,Volkswagen,2016,92006,Petrol,Manual,11434,513999,10,Kochi
Volkswagen Ameo,Volkswagen,2016,64731,Petrol,Manual,8164,367000,10,Kochi
Honda Amaze,Honda,2015,151292,Petrol,Manual,8479,322000,11,Kochi
Tata PUNCH,Tata,2024,24619,Petrol,Auto,11810,669000,2,Kochi
Renault Kiger,Renault,2022,18246,Petrol,Auto,10415,590000,4,Kochi
Jeep Compass,Jeep,2017,88121,Petrol,Auto,15210,778000,9,Kochi
Maruti Wagon R 1.0,Maruti,2011,74123,Petrol,Manual,15210,200000,15,Kochi
Maruti Ritz,Maruti,2012,108727,Diesel,Manual,15210,227999,14,Kochi
Tata Tiago,Tata,2018,57255,Petrol,Manual,5296,300000,8,Kochi
Hyundai i20,Hyundai,2010,100000,Petrol,Manual,5296,88000,16,Kochi
Maruti Swift,Maruti,2013,104732,Petrol,Manual,14075,299000,13,Kochi
Renault Kwid,Renault,2019,46337,Petrol,Auto,5137,291000,7,Kochi
Hyundai Grand i10,Hyundai,2018,28499,Petrol,Auto,8898,400000,8,Kochi
Volkswagen Vento,Volkswagen,2015,132193,Diesel,Manual,10562,318000,11,Kochi
Hyundai Grand i10,Hyundai,2016,104348,Petrol,Auto,6495,292000,10,Kochi
Maruti Baleno,Maruti,2023,124492,Petrol,Manual,14459,650000,3,Kochi
Maruti Alto K10,Maruti,2012,79677,Petrol,Manual,14660,165000,14,Kochi
Tata Bolt,Tata,2015,80763,Petrol,Manual,4766,181000,11,Kochi
Maruti Alto,Maruti,2020,29283,Petrol,Manual,5719,324000,6,Kochi
Maruti IGNIS,Maruti,2019,141300,Petrol,Auto,9276,417000,7,Kochi
Ford Figo,Ford,2011,82190,Diesel,Manual,9276,82000,15,Kochi
Tata TIGOR,Tata,2018,84622,Petrol,Manual,6178,350000,8,Kochi
Nissan Micra,Nissan,2011,112201,Petrol,Manual,6178,141000,15,Kochi
Tata Tiago,Tata,2018,81972,Petrol,Auto,5472,310000,8,Kochi
Hyundai Verna,Hyundai,2018,46380,Petrol,Manual,12092,685000,8,Kochi
Tata NEXON,Tata,2019,21018,Petrol,Auto,12992,736000,7,Kochi
Maruti Wagon R 1.0,Maruti,2018,10176,Petrol,Auto,7855,445000,8,Kochi
Maruti A Star,Maruti,2013,51630,Petrol,Auto,11580,246000,13,Kochi
Toyota Etios Liva,Toyota,2013,165985,Petrol,Manual,16146,343000,13,Kochi
Volkswagen TAIGUN,Volkswagen,2022,28294,Petrol,Manual,15068,880000,4,Kochi
Jeep Compass,Jeep,2017,101324,Diesel,Manual,21612,994000,9,Kochi
Maruti Dzire,Maruti,2018,68459,Petrol,Manual,8844,501000,8,Kochi
KIA CARENS,KIA,2022,31154,Petrol,Auto,20119,1175000,4,Kochi
Maruti Alto K10,Maruti,2018,23949,Petrol,Manual,4572,259000,8,Kochi
Mahindra Xylo,Mahindra,2011,259765,Diesel,Manual,4572,160000,15,Kochi
Nissan Kicks,Nissan,2020,87138,Petrol,Manual,14280,834000,6,Kochi
Tata NEXON,Tata,2024,8468,Petrol,Auto,18835,1100000,2,Kochi
Ford Ecosport,Ford,2020,63889,Diesel,Manual,13698,800000,6,Kochi
Hyundai Eon,Hyundai,2013,39391,Petrol,Manual,6496,138000,13,Kochi
Mahindra KUV 100 NXT,Mahindra,2018,59522,Petrol,Manual,5261,298000,8,Kochi
Honda City,Honda,2016,61122,Petrol,Manual,10344,465000,10,Kochi
Maruti Swift Dzire,Maruti,2013,101816,Petrol,Manual,13840,294000,13,Kochi
Volkswagen Ameo,Volkswagen,2017,184000,Diesel,Manual,7875,354000,9,Kochi
Honda City,Honda,2015,197153,Petrol,Manual,13272,504000,11,Kochi
Honda Amaze,Honda,2015,37110,Petrol,Manual,9217,350000,11,Kochi
Renault Duster,Renault,2015,138431,Diesel,Manual,10629,320000,11,Kochi
Hyundai i20 Active,Hyundai,2015,153916,Diesel,Manual,12954,390000,11,Kochi
Volkswagen VIRTUS,Volkswagen,2022,83467,Petrol,Auto,16951,990000,4,Kochi
Hyundai Grand i10,Hyundai,2017,46076,Petrol,Manual,6843,350000,9,Kochi
Tata Indica Vista,Tata,2011,118634,Diesel,Manual,6843,80000,15,Kochi
Maruti Baleno,Maruti,2018,30720,Petrol,Manual,11086,628000,8,Kochi
Tata Tiago,Tata,2019,55549,Petrol,Manual,5825,330000,7,Kochi
Hyundai New Elantra,Hyundai,2013,106475,Petrol,Manual,14404,306000,13,Kochi
Hyundai Verna,Hyundai,2015,63668,Petrol,Manual,12140,461000,11,Kochi
Maruti Baleno,Maruti,2017,98442,Petrol,Manual,9775,500000,9,Kochi
Hyundai Elite i20,Hyundai,2014,91117,Petrol,Manual,11226,338000,12,Kochi
Maruti BREZZA,Maruti,2022,39785,Petrol,Manual,13903,811999,4,Kochi
