Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Hyundai Grand i10,Hyundai,2015,43158,Petrol,Manual,6662,252999,11,Mumbai
Honda BR-V,Honda,2017,75974,Petrol,Manual,10235,524000,9,Mumbai
Honda Amaze,Honda,2015,51855,Petrol,Manual,6452,245000,11,Mumbai
Toyota Etios Liva,Toyota,2015,91886,Petrol,Manual,5319,202000,11,Mumbai
Maruti New Wagon-R,Maruti,2021,68180,CNG,Manual,7396,419000,5,Mumbai
Honda City,Honda,2022,86355,Diesel,Manual,14157,827000,4,Mumbai
Maruti Wagon R 1.0,Maruti,2016,48590,Petrol,Auto,5272,237000,10,Mumbai
Tata Tiago,Tata,2022,35556,CNG,Manual,8438,478000,4,Mumbai
Toyota Innova,Toyota,2014,170000,Diesel,Manual,23772,505000,12,Mumbai
Maruti Celerio,Maruti,2022,41490,Petrol,Auto,7370,418000,4,Mumbai
Jeep Compass,Jeep,2018,48146,Petrol,Manual,11868,672000,8,Mumbai
Volkswagen TAIGUN,Volkswagen,2021,69800,Petrol,Manual,14016,794000,5,Mumbai
Maruti Ertiga,Maruti,2016,95635,Petrol,Auto,10744,483000,10,Mumbai
Maruti Ciaz,Maruti,2014,71574,Diesel,Manual,17747,377000,12,Mumbai
Hyundai i10,Hyundai,2012,62494,Petrol,Manual,14038,158000,14,Mumbai
MG HECTOR,MG,2019,48955,Petrol,Auto,14468,844999,7,Mumbai
Hyundai NEW SANTRO,Hyundai,2021,29501,Petrol,Auto,6557,371000,5,Mumbai
Honda Jazz,Honda,2016,127709,Petrol,Manual,5517,248000,10,Mumbai
Toyota URBAN CRUISER,Toyota,2021,81951,Petrol,Manual,10892,617000,5,Mumbai
Renault Kiger,Renault,2022,65563,Petrol,Auto,9195,521000,4,Mumbai
Maruti Wagon R 1.0,Maruti,2016,79584,Petrol,Manual,4760,214000,10,Mumbai
Hyundai i10,Hyundai,2013,31062,Petrol,Manual,7296,155000,13,Mumbai
Skoda Rapid,Skoda,2012,64358,Diesel,Manual,7296,248000,14,Mumbai
