Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Volkswagen Polo,Volkswagen,2019,103074,Petrol,Auto,11514,518000,7,Jaipur
Hyundai Elite i20,Hyundai,2017,87263,Petrol,Manual,8521,436000,9,Jaipur
Honda Amaze,Honda,2022,34195,Petrol,Manual,10945,620000,4,Jaipur
Mahindra MARAZZO,Mahindra,2019,69853,Diesel,Manual,10768,610000,7,Jaipur
Hyundai NEW SANTRO,Hyundai,2021,28560,Petrol,Manual,6885,390000,5,Jaipur
Maruti Ciaz,Maruti,2022,69755,Petrol,Manual,11298,640000,4,Jaipur
Maruti Alto 800,Maruti,2018,95111,Petrol,Manual,4325,245000,8,Jaipur
Honda City,Honda,2018,69866,Petrol,Manual,9974,565000,8,Jaipur
Skoda SLAVIA,Skoda,2022,52763,Petrol,Auto,15753,919999,4,Jaipur
Hyundai Grand i10,Hyundai,2016,76742,Petrol,Manual,8342,375000,10,Jaipur
Honda City,Honda,2020,91515,Petrol,Auto,14122,800000,6,Jaipur
Honda City,Honda,2017,46585,Petrol,Manual,10557,540000,9,Jaipur
Honda City,Honda,2018,41960,Petrol,Auto,10244,580000,8,Jaipur
Hyundai Verna,Hyundai,2016,85345,Diesel,Manual,6583,250000,10,Jaipur
Maruti Wagon R 1.0,Maruti,2013,63006,Petrol,Manual,8473,180000,13,Jaipur
Maruti Wagon R 1.0,Maruti,2015,121041,Petrol,Manual,4003,152000,11,Jaipur
Ford New Figo,Ford,2019,68920,Petrol,Manual,4413,250000,7,Jaipur
Hyundai Verna,Hyundai,2014,221652,Diesel,Manual,15534,330000,12,Jaipur
Hyundai Elite i20,Hyundai,2017,97839,Petrol,Manual,7625,390000,9,Jaipur
Renault Kwid,Renault,2016,87245,Petrol,Manual,2767,124000,10,Jaipur
Maruti New Wagon-R,Maruti,2022,68830,Petrol,Manual,8826,500000,4,Jaipur
Maruti Baleno,Maruti,2018,76897,Petrol,Manual,7043,399000,8,Jaipur
Maruti Vitara Brezza,Maruti,2019,100187,Diesel,Manual,11500,517000,7,Jaipur
Maruti Celerio,Maruti,2016,19704,Petrol,Auto,7051,317000,10,Jaipur
Maruti Swift Dzire,Maruti,2015,99593,Petrol,Manual,6794,258000,11,Jaipur
Mahindra BOLERO NEO,Mahindra,2022,31312,Diesel,Manual,13557,768000,4,Jaipur
Hyundai Verna,Hyundai,2014,101389,Diesel,Manual,10921,231999,12,Jaipur
Maruti Alto,Maruti,2011,180164,Petrol,Manual,10921,74000,15,Jaipur
Skoda SLAVIA,Skoda,2022,56404,Petrol,Manual,14263,833000,4,Jaipur
Hyundai i10,Hyundai,2012,63905,Petrol,Manual,12439,140000,14,Jaipur
Hyundai Verna,Hyundai,2012,105308,Diesel,Manual,12439,200000,14,Jaipur
Maruti Alto K10,Maruti,2012,73944,Petrol,Manual,11550,130000,14,Jaipur
Renault Kwid,Renault,2018,71592,Petrol,Manual,3689,209000,8,Jaipur
Mahindra XUV500,Mahindra,2014,86813,Diesel,Manual,14452,307000,12,Jaipur
Hyundai i10,Hyundai,2012,56959,Petrol,Manual,13594,153000,14,Jaipur
Maruti Dzire,Maruti,2017,157688,Diesel,Manual,8942,401999,9,Jaipur
Volkswagen Ameo,Volkswagen,2018,88208,Petrol,Manual,7079,401000,8,Jaipur
Hyundai Eon,Hyundai,2015,121267,Petrol,Manual,4529,172000,11,Jaipur
Hyundai Verna,Hyundai,2020,74644,Petrol,Manual,10486,594000,6,Jaipur
Hyundai Verna,Hyundai,2013,91009,Diesel,Manual,21146,238000,13,Jaipur
Maruti Wagon R 1.0,Maruti,2015,81211,Petrol,Manual,4714,179000,11,Jaipur
Hyundai i20,Hyundai,2013,93507,Diesel,Manual,19547,220000,13,Jaipur
Mahindra XUV500,Mahindra,2012,227600,Diesel,Manual,19547,202000,14,Jaipur
Honda Amaze,Honda,2019,59568,Petrol,Manual,7061,400000,7,Jaipur
Datsun Redi Go,Datsun,2017,35579,Petrol,Manual,3108,159000,9,Jaipur
KIA SELTOS,KIA,2020,35004,Petrol,Manual,11969,678000,6,Jaipur
Hyundai Eon,Hyundai,2014,102951,Petrol,Manual,4982,150000,12,Jaipur
Hyundai Eon,Hyundai,2014,127845,Petrol,Manual,5314,160000,12,Jaipur
Hyundai i10,Hyundai,2013,60077,Petrol,Manual,6826,145000,13,Jaipur
Maruti Swift,Maruti,2013,95753,Petrol,Manual,13840,294000,13,Jaipur
Nissan Sunny,Nissan,2012,307369,Diesel,Manual,13840,132000,14,Jaipur
Honda Brio,Honda,2013,92620,Petrol,Manual,7673,163000,13,Jaipur
Hyundai Eon,Hyundai,2016,12559,Petrol,Manual,4382,197000,10,Jaipur
Maruti Alto 800,Maruti,2015,37909,Petrol,Manual,6083,231000,11,Jaipur
Honda Brio,Honda,2012,67966,Petrol,Manual,13949,157000,14,Jaipur
Hyundai Eon,Hyundai,2015,83789,Petrol,Manual,3529,134000,11,Jaipur
Maruti Swift,Maruti,2014,163890,Petrol,Manual,7839,236000,12,Jaipur
