Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Honda Amaze,Honda,2014,82695,Diesel,Manual,8520,181000,12,Agra
Hyundai i10,Hyundai,2013,43288,Petrol,Manual,6684,142000,13,Agra
Mercedes Benz A Class,Mercedes,2015,90269,Diesel,Auto,14515,437000,11,Agra
Ford Figo,Ford,2012,82348,Diesel,Manual,14515,83000,14,Agra
Chevrolet Beat,Chevrolet,2012,86902,Petrol,Manual,6664,75000,14,Agra
Maruti Alto 800,Maruti,2013,77746,Petrol,Manual,5215,111000,13,Agra
Datsun Go,Datsun,2014,21521,Petrol,Manual,3355,101000,12,Agra
Hyundai Eon,Hyundai,2011,64769,Petrol,Manual,3355,106000,15,Agra
Toyota Etios Liva,Toyota,2012,110472,Diesel,Manual,3355,160000,14,Agra
Hyundai Santro Xing,Hyundai,2012,69890,Petrol,Manual,8529,96000,14,Agra
Maruti New Wagon-R,Maruti,2019,65493,Petrol,Manual,6337,359000,7,Agra
Tata Harrier,Tata,2022,46216,Diesel,Manual,25461,1487000,4,Agra
Honda Amaze,Honda,2014,148355,Diesel,Manual,7908,168000,12,Agra
Maruti Wagon R 1.0,Maruti,2016,89986,Petrol,Manual,4182,188000,10,Agra
Maruti Ritz,Maruti,2013,160283,Diesel,Manual,13150,148000,13,Agra
Maruti Wagon R 1.0,Maruti,2015,33447,Petrol,Manual,6083,231000,11,Agra
Hyundai GRAND I10 NIOS,Hyundai,2021,50060,Petrol,Manual,7379,418000,5,Agra
Renault Kwid,Renault,2018,58144,Petrol,Manual,3871,174000,8,Agra
Hyundai i20,Hyundai,2011,99404,Petrol,Manual,3871,123000,15,Agra
Maruti Dzire,Maruti,2017,108512,Diesel,Manual,8210,369000,9,Agra
Maruti Wagon R 1.0,Maruti,2015,20085,Petrol,Manual,6267,238000,11,Agra
Maruti Ritz,Maruti,2011,123456,Petrol,Manual,6267,117000,15,Agra
Maruti Dzire,Maruti,2020,116330,Petrol,Manual,9031,405999,6,Agra
Maruti Swift Dzire,Maruti,2015,88830,Petrol,Manual,7479,284000,11,Agra
Maruti Celerio,Maruti,2014,80160,Petrol,Manual,6444,194000,12,Agra
Landrover Freelander 2,Landrover,2013,139022,Diesel,Auto,41759,470000,13,Agra
Maruti Swift Dzire,Maruti,2016,155868,Diesel,Manual,8875,337000,10,Agra
Toyota Etios Liva,Toyota,2011,116930,Petrol,Manual,8875,162000,15,Agra
Maruti Swift,Maruti,2020,102514,Petrol,Manual,9676,434999,6,Agra
Maruti Ritz,Maruti,2013,78840,Diesel,Manual,14127,159000,13,Agra
Maruti Swift,Maruti,2020,36770,Petrol,Manual,7591,430000,6,Agra
Mahindra Scorpio,Mahindra,2019,137900,Diesel,Manual,16928,761000,7,Agra
Maruti Ciaz,Maruti,2020,122604,Petrol,Manual,9454,425000,6,Agra
Chevrolet Cruze,Chevrolet,2012,125356,Diesel,Auto,9454,165000,14,Agra
Hyundai i10,Hyundai,2011,87818,Petrol,Manual,9454,101000,15,Agra
Maruti Swift Dzire,Maruti,2015,84872,Petrol,Manual,6636,252000,11,Agra
Hyundai Verna,Hyundai,2013,139497,Diesel,Manual,19280,217000,13,Agra
Maruti Swift,Maruti,2019,22876,Petrol,Manual,8562,484999,7,Agra
Maruti Wagon R 1.0,Maruti,2018,28111,Petrol,Manual,4890,277000,8,Agra
Tata TIGOR,Tata,2018,59901,Petrol,Manual,4678,265000,8,Agra
Maruti Ritz,Maruti,2013,38391,Petrol,Manual,6402,136000,13,Agra
Maruti Wagon R 1.0,Maruti,2015,40019,Petrol,Manual,5925,225000,11,Agra
Hyundai Grand i10,Hyundai,2014,98941,Petrol,Manual,7008,211000,12,Agra
Maruti Wagon R 1.0,Maruti,2017,25383,Petrol,Manual,5318,272000,9,Agra
MG HECTOR,MG,2019,39851,Petrol,Auto,13823,783000,7,Agra
Honda Brio,Honda,2012,57950,Petrol,Manual,13327,150000,14,Agra
Tata Safari Storme,Tata,2016,215508,Diesel,Manual,9717,369000,10,Agra
Maruti Wagon R 1.0,Maruti,2016,102308,Petrol,Manual,5339,240000,10,Agra
Maruti Alto 800,Maruti,2019,44635,Petrol,Manual,4078,231000,7,Agra
Renault TRIBER,Renault,2021,77734,Petrol,Manual,7785,441000,5,Agra
Maruti Swift Dzire,Maruti,2016,60000,Diesel,Manual,6899,262000,10,Agra
Hyundai VENUE,Hyundai,2019,57047,Petrol,Manual,8826,500000,7,Agra
Maruti Swift,Maruti,2012,51449,Diesel,Manual,8826,196000,14,Agra
Hyundai GRAND I10 NIOS,Hyundai,2022,15421,Petrol,Manual,8597,487000,4,Agra
Hyundai Verna,Hyundai,2016,49247,Diesel,Manual,10534,400000,10,Agra
Honda City,Honda,2015,84961,Diesel,Manual,8968,270000,11,Agra
Maruti Dzire,Maruti,2017,96409,Diesel,Manual,10744,483000,9,Agra
Maruti Vitara Brezza,Maruti,2017,106331,Diesel,Manual,12079,543000,9,Agra
Honda Amaze,Honda,2015,102753,Diesel,Manual,6909,208000,11,Agra
Maruti Wagon R 1.0,Maruti,2013,46000,Petrol,Manual,9132,194000,13,Agra
KIA SELTOS,KIA,2019,114165,Diesel,Manual,17506,787000,7,Agra
Maruti Swift Dzire,Maruti,2015,65695,Petrol,Manual,7057,268000,11,Agra
Renault Duster,Renault,2014,106882,Diesel,Manual,8285,176000,12,Agra
Maruti Swift,Maruti,2020,50819,Petrol,Manual,7432,421000,6,Agra
Honda City,Honda,2018,153000,Petrol,Manual,10789,484999,8,Agra
Honda Amaze,Honda,2020,51770,Petrol,Manual,7555,428000,6,Agra
Hyundai GRAND I10 NIOS,Hyundai,2022,102349,Petrol,Manual,8787,395000,4,Agra
Hyundai Elite i20,Hyundai,2019,17783,Petrol,Manual,7944,450000,7,Agra
Honda City,Honda,2016,41809,Petrol,Manual,9142,411000,10,Agra
Mahindra Xylo,Mahindra,2012,91531,Diesel,Manual,9142,87000,14,Agra
Mahindra TUV300,Mahindra,2019,171574,Diesel,Manual,13970,628000,7,Agra
Hyundai Verna,Hyundai,2014,168894,Diesel,Auto,15440,328000,12,Agra
Maruti Swift,Maruti,2013,9964,Petrol,Manual,12804,272000,13,Agra
Tata NEXON,Tata,2019,33803,Diesel,Manual,9815,556000,7,Agra
Maruti Baleno,Maruti,2019,126959,Petrol,Manual,10010,450000,7,Agra
Hyundai Grand i10,Hyundai,2014,16196,Petrol,Manual,9068,273000,12,Agra
Maruti Swift Dzire,Maruti,2015,75892,Petrol,Manual,8348,317000,11,Agra
Hyundai i10,Hyundai,2011,59749,Petrol,Manual,8348,107000,15,Agra
Hyundai Verna,Hyundai,2014,175394,Diesel,Manual,14357,305000,12,Agra
Maruti Swift Dzire,Maruti,2016,34953,Petrol,Manual,6896,310000,10,Agra
Maruti Wagon R 1.0,Maruti,2014,42240,Petrol,Manual,6875,206999,12,Agra
Hyundai i10,Hyundai,2011,91911,Petrol,Manual,6875,71000,15,Agra
Volkswagen Vento,Volkswagen,2010,65542,Petrol,Manual,6875,104000,16,Agra
Mahindra XUV500,Mahindra,2015,185386,Diesel,Manual,12854,387000,11,Agra
Maruti Wagon R 1.0,Maruti,2012,50826,Petrol,Manual,13949,157000,14,Agra
Hyundai Grand i10,Hyundai,2015,55249,Petrol,Manual,6847,260000,11,Agra
Honda City,Honda,2012,95345,Petrol,Manual,16437,185000,14,Agra
Maruti Wagon R 1.0,Maruti,2011,72453,Petrol,Manual,16437,100000,15,Agra
Hyundai NEW SANTRO,Hyundai,2018,61669,Petrol,Manual,5578,316000,8,Agra
Maruti Swift,Maruti,2014,75496,Diesel,Manual,12004,254999,12,Agra
Chevrolet Beat,Chevrolet,2012,100000,Diesel,Manual,12004,44000,14,Agra
Chevrolet Beat,Chevrolet,2013,83045,Diesel,Manual,6664,75000,13,Agra
Mahindra XUV700,Mahindra,2022,42129,Petrol,Auto,25752,1504000,4,Agra
