Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Ford FREESTYLE,Ford,2021,13590,Petrol,Manual,8826,500000,5,Patna
Maruti Wagon R 1.0,Maruti,2015,66296,Petrol,Manual,6926,263000,11,Patna
Tata TIGOR,Tata,2019,57732,Petrol,Manual,6708,380000,7,Patna
Maruti Dzire,Maruti,2020,21295,Petrol,Manual,9991,566000,6,Patna
Hyundai Verna,Hyundai,2020,49737,Petrol,Manual,15222,889000,6,Patna
Fiat Avventura,Fiat,2014,72886,Petrol,Manual,9300,280000,12,Patna
Hyundai NEW I20,Hyundai,2022,12865,Petrol,Manual,12163,689000,4,Patna
Hyundai Grand i10,Hyundai,2019,65000,Petrol,Manual,5719,324000,7,Patna
Volkswagen Polo,Volkswagen,2017,89307,Diesel,Manual,9743,438000,9,Patna
Renault Kwid,Renault,2020,54950,Petrol,Auto,7803,442000,6,Patna
Honda BR-V,Honda,2016,60100,Diesel,Manual,10823,411000,10,Patna
Maruti Dzire,Maruti,2018,52939,Diesel,Manual,11007,563000,8,Patna
Maruti Dzire,Maruti,2019,62319,Diesel,Manual,8667,491000,7,Patna
Hyundai Grand i10,Hyundai,2017,53000,Petrol,Manual,6276,321000,9,Patna
Maruti Baleno,Maruti,2024,8188,Petrol,Manual,11439,648000,2,Patna
Renault Duster,Renault,2013,138492,Diesel,Manual,29142,328000,13,Patna
Maruti Dzire,Maruti,2020,84673,Petrol,Manual,8297,470000,6,Patna
Maruti Vitara Brezza,Maruti,2020,68240,Petrol,Manual,12357,700000,6,Patna
Ford Ecosport,Ford,2018,32380,Petrol,Manual,11262,638000,8,Patna
Hyundai Grand i10,Hyundai,2014,122963,Petrol,Manual,8304,250000,12,Patna
Nissan Kicks,Nissan,2019,44257,Petrol,Manual,10239,580000,7,Patna
Maruti Dzire,Maruti,2018,124806,Diesel,Manual,9120,409999,8,Patna
KIA SELTOS,KIA,2022,19535,Petrol,Manual,22482,1313000,4,Patna
Mahindra XUV500,Mahindra,2018,82651,Diesel,Manual,20747,1090000,8,Patna
Renault Duster,Renault,2015,55162,Diesel,Manual,12024,362000,11,Patna
Tata TIAGO NRG,Tata,2021,95000,Petrol,Manual,7944,450000,5,Patna
KIA SELTOS,KIA,2023,26692,Petrol,Manual,20547,1200000,3,Patna
Hyundai Creta,Hyundai,2016,58432,Diesel,Manual,19013,722000,10,Patna
Ford Ecosport,Ford,2015,93984,Diesel,Manual,10164,306000,11,Patna
Mahindra XUV300,Mahindra,2019,83689,Diesel,Manual,9709,550000,7,Patna
Tata Harrier,Tata,2024,22132,Diesel,Manual,27396,1600000,2,Patna
Hyundai Elite i20,Hyundai,2016,20501,Petrol,Manual,9454,425000,10,Patna
Maruti Alto K10,Maruti,2017,61779,Petrol,Manual,4829,247000,9,Patna
Tata PUNCH,Tata,2021,43622,Petrol,Manual,9815,556000,5,Patna
Maruti XL6,Maruti,2023,16322,Petrol,Manual,19126,1117000,3,Patna
Tata NEXON,Tata,2023,9031,Petrol,Manual,13681,775000,3,Patna
Honda City,Honda,2017,57884,Petrol,Manual,10225,523000,9,Patna
Honda City,Honda,2015,27150,Petrol,Manual,11113,422000,11,Patna
Renault Duster,Renault,2015,59926,Diesel,Manual,9964,300000,11,Patna
Honda City,Honda,2016,88784,Petrol,Auto,10522,473000,10,Patna
Maruti Baleno,Maruti,2022,20705,Petrol,Manual,12516,709000,4,Patna
Tata NEXON,Tata,2018,37288,Diesel,Manual,8895,455000,8,Patna
Tata ALTROZ,Tata,2023,9434,Petrol,Manual,12604,714000,3,Patna
Ford FREESTYLE,Ford,2020,20911,Diesel,Manual,11474,650000,6,Patna
Honda Jazz,Honda,2012,59123,Petrol,Manual,13860,156000,14,Patna
Honda Amaze,Honda,2020,267879,Diesel,Manual,10010,450000,6,Patna
Maruti Baleno,Maruti,2020,33293,Petrol,Manual,10256,581000,6,Patna
Mahindra BOLERO NEO,Mahindra,2023,44931,Diesel,Manual,14160,827000,3,Patna
Hyundai Xcent,Hyundai,2017,48995,Petrol,Manual,6295,322000,9,Patna
