Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Maruti FRONX,Maruti,2024,74427,Petrol,Manual,12357,700000,2,Nagpur
Hyundai Eon,Hyundai,2015,25925,Petrol,Manual,6004,227999,11,Nagpur
Maruti Wagon R 1.0,Maruti,2011,58869,Petrol,Manual,6004,160000,15,Nagpur
Honda City,Honda,2018,60374,Petrol,Manual,9886,560000,8,Nagpur
Maruti Vitara Brezza,Maruti,2021,29932,Petrol,Manual,12357,700000,5,Nagpur
Maruti Swift Dzire,Maruti,2016,120767,Diesel,Manual,7584,288000,10,Nagpur
Hyundai Creta,Hyundai,2018,43136,Diesel,Manual,15227,800000,8,Nagpur
Hyundai i20,Hyundai,2010,1010197,Petrol,Manual,15227,125000,16,Nagpur
Maruti Wagon R 1.0,Maruti,2015,106814,Petrol,Manual,6847,260000,11,Nagpur
Volkswagen Polo,Volkswagen,2016,62592,Petrol,Manual,7719,347000,10,Nagpur
Maruti Swift Dzire,Maruti,2014,169108,Diesel,Manual,18123,385000,12,Nagpur
Volkswagen Polo,Volkswagen,2015,100800,Diesel,Manual,9964,300000,11,Nagpur
Honda Civic,Honda,2010,71130,Petrol,Manual,9964,150000,16,Nagpur
Maruti Zen Estilo,Maruti,2010,24822,Petrol,Manual,9964,110000,16,Nagpur
Mahindra XUV500,Mahindra,2013,98377,Diesel,Manual,26655,300000,13,Nagpur
Maruti Baleno,Maruti,2019,50653,Petrol,Manual,8826,500000,7,Nagpur
Volkswagen Vento,Volkswagen,2011,113024,Diesel,Manual,8826,136000,15,Nagpur
Tata Indica EV2,Tata,2016,50899,Diesel,Manual,3739,142000,10,Nagpur
Ford Ecosport,Ford,2014,137194,Diesel,Manual,14028,298000,12,Nagpur
Renault TRIBER,Renault,2022,30955,Petrol,Manual,10150,575000,4,Nagpur
Tata NEXON,Tata,2019,136000,Petrol,Manual,11567,520000,7,Nagpur
Ford Ecosport,Ford,2015,79600,Diesel,Manual,15179,457000,11,Nagpur
Renault Duster,Renault,2013,95855,Diesel,Manual,19991,225000,13,Nagpur
Renault Kwid,Renault,2016,75184,Petrol,Manual,5561,250000,10,Nagpur
Hyundai Verna,Hyundai,2012,7766,Petrol,Manual,24433,275000,14,Nagpur
Maruti Celerio,Maruti,2017,53113,Petrol,Auto,6608,338000,9,Nagpur
Chevrolet Spark,Chevrolet,2011,103960,Petrol,Manual,6608,63000,15,Nagpur
Ford Figo,Ford,2015,47818,Petrol,Manual,6847,260000,11,Nagpur
Hyundai i20,Hyundai,2010,82696,Petrol,Manual,6847,140000,16,Nagpur
Honda City,Honda,2014,77333,Petrol,Manual,11393,343000,12,Nagpur
Skoda Rapid,Skoda,2013,111069,Diesel,Manual,23634,266000,13,Nagpur
Maruti Alto 800,Maruti,2014,83959,Petrol,Manual,6311,190000,12,Nagpur
Maruti Dzire,Maruti,2017,73170,Petrol,Manual,9169,469000,9,Nagpur
Hyundai i20,Hyundai,2010,78929,Petrol,Manual,9169,146000,16,Nagpur
Maruti Alto,Maruti,2010,15257,Petrol,Manual,9169,152000,16,Nagpur
Maruti Ritz,Maruti,2016,72221,Petrol,Manual,5784,260000,10,Nagpur
Maruti Wagon R 1.0,Maruti,2016,38528,Petrol,Manual,7608,342000,10,Nagpur
Renault Duster,Renault,2012,146698,Diesel,Manual,7608,193000,14,Nagpur
Hyundai Elite i20,Hyundai,2014,181173,Petrol,Manual,9964,300000,12,Nagpur
Chevrolet Sail UVA,Chevrolet,2014,221963,Diesel,Manual,5649,120000,12,Nagpur
Maruti Wagon R 1.0,Maruti,2017,49167,Petrol,Manual,6843,350000,9,Nagpur
Hyundai i20,Hyundai,2011,89752,Petrol,Manual,6843,165000,15,Nagpur
Toyota Etios,Toyota,2013,131857,Diesel,Manual,22212,250000,13,Nagpur
Volkswagen Vento,Volkswagen,2011,191005,Diesel,Manual,22212,155000,15,Nagpur
Ford Figo Aspire,Ford,2015,103801,Petrol,Manual,6452,245000,11,Nagpur
Maruti Baleno,Maruti,2022,88989,Petrol,Manual,9532,540000,4,Nagpur
